trial_num,run,run_type,stim_condition,trial_in_contingency,current_good,contingency_trials,flower1,flower2,slot1_position,slot2_position,choice,rt,correct,reward,wait_time,iti,timestamp,trial_start_time,stim_guess,subject_id,session,age,gender,date
0,4,post_stimulation,baseline,0,1,25,9,23,left,right,2,1143.6610221862793,False,False,2000.0,250.0,1251.0849306583405,5.406294822692871,no,11075,1,79,M,2026-07-09_09-59-57
1,4,post_stimulation,baseline,1,1,25,9,23,right,left,1,823.2979774475098,True,True,2000.0,250.0,1256.169617652893,10.490982294082642,no,11075,1,79,M,2026-07-09_09-59-57
2,4,post_stimulation,baseline,2,1,25,9,23,left,right,1,479.92873191833496,True,True,2000.0,250.0,1260.9107220172882,15.232086658477783,no,11075,1,79,M,2026-07-09_09-59-57
3,4,post_stimulation,baseline,3,1,25,9,23,right,left,2,528.4571647644043,False,False,2000.0,250.0,1265.7004828453064,20.02184748649597,no,11075,1,79,M,2026-07-09_09-59-57
4,4,post_stimulation,baseline,4,1,25,9,23,left,right,1,688.6312961578369,True,True,2000.0,250.0,1270.6506910324097,24.972055435180664,no,11075,1,79,M,2026-07-09_09-59-57
5,4,post_stimulation,baseline,5,1,25,9,23,left,right,1,532.6802730560303,True,True,2000.0,250.0,1275.4457693099976,29.767133712768555,no,11075,1,79,M,2026-07-09_09-59-57
6,4,post_stimulation,baseline,6,1,25,9,23,left,right,1,508.58235359191895,True,False,2000.0,250.0,1280.2151939868927,34.536558389663696,no,11075,1,79,M,2026-07-09_09-59-57
7,4,post_stimulation,baseline,7,1,25,9,23,right,left,2,510.6058120727539,False,False,2000.0,250.0,1284.9872527122498,39.30861711502075,no,11075,1,79,M,2026-07-09_09-59-57
8,4,post_stimulation,baseline,8,1,25,9,23,left,right,1,1099.9767780303955,True,True,2000.0,250.0,1290.3484196662903,44.6697838306427,no,11075,1,79,M,2026-07-09_09-59-57
9,4,post_stimulation,baseline,9,1,25,9,23,right,left,1,887.4332904815674,True,True,2000.0,250.0,1295.497374534607,49.81873917579651,no,11075,1,79,M,2026-07-09_09-59-57
10,4,post_stimulation,baseline,10,1,25,9,23,left,right,1,678.2879829406738,True,True,2000.0,250.0,1300.4375143051147,54.75887894630432,no,11075,1,79,M,2026-07-09_09-59-57
11,4,post_stimulation,baseline,11,1,25,9,23,left,right,1,507.0338249206543,True,False,2000.0,250.0,1305.2058396339417,59.527204275131226,no,11075,1,79,M,2026-07-09_09-59-57
12,4,post_stimulation,baseline,12,1,25,9,23,right,left,2,459.84649658203125,False,False,2000.0,250.0,1309.9270241260529,64.24838900566101,no,11075,1,79,M,2026-07-09_09-59-57
13,4,post_stimulation,baseline,13,1,25,9,23,left,right,1,1249.1304874420166,True,False,2000.0,250.0,1315.4372701644897,69.75863456726074,no,11075,1,79,M,2026-07-09_09-59-57
14,4,post_stimulation,baseline,14,1,25,9,23,right,left,2,737.0364665985107,False,False,2000.0,250.0,1320.4357664585114,74.75713086128235,no,11075,1,79,M,2026-07-09_09-59-57
15,4,post_stimulation,baseline,15,1,25,9,23,left,right,2,593.9426422119141,False,False,2000.0,250.0,1325.290916442871,79.61228108406067,no,11075,1,79,M,2026-07-09_09-59-57
16,4,post_stimulation,baseline,16,1,25,9,23,left,right,1,927.2515773773193,True,False,2000.0,250.0,1330.4797360897064,84.80110096931458,no,11075,1,79,M,2026-07-09_09-59-57
17,4,post_stimulation,baseline,17,1,25,9,23,left,right,2,675.3184795379639,False,False,2000.0,250.0,1335.4169473648071,89.73831176757812,no,11075,1,79,M,2026-07-09_09-59-57
18,4,post_stimulation,baseline,18,1,25,9,23,right,left,1,1727.9329299926758,True,False,2000.0,250.0,1341.4071147441864,95.72847938537598,no,11075,1,79,M,2026-07-09_09-59-57
19,4,post_stimulation,baseline,19,1,25,9,23,left,right,2,1090.3494358062744,False,False,2000.0,250.0,1346.7591602802277,101.08052515983582,no,11075,1,79,M,2026-07-09_09-59-57
20,4,post_stimulation,baseline,20,1,25,9,23,right,left,2,461.78245544433594,False,False,2000.0,250.0,1351.48232960701,105.80369424819946,no,11075,1,79,M,2026-07-09_09-59-57
21,4,post_stimulation,baseline,21,1,25,9,23,left,right,1,1646.735668182373,True,True,2000.0,250.0,1357.3899974822998,111.7113630771637,no,11075,1,79,M,2026-07-09_09-59-57
22,4,post_stimulation,baseline,22,1,25,9,23,left,right,1,552.473783493042,True,False,2000.0,250.0,1362.2033987045288,116.5247631072998,no,11075,1,79,M,2026-07-09_09-59-57
23,4,post_stimulation,baseline,23,1,25,9,23,left,right,2,1629.7423839569092,False,True,2000.0,250.0,1368.0940153598785,122.41537976264954,no,11075,1,79,M,2026-07-09_09-59-57
24,4,post_stimulation,baseline,24,1,25,9,23,right,left,1,688.8957023620605,True,True,2000.0,250.0,1373.043686389923,127.36505103111267,no,11075,1,79,M,2026-07-09_09-59-57
25,4,post_stimulation,baseline,0,2,25,9,23,left,right,2,649.2135524749756,True,True,2000.0,250.0,1377.954666852951,132.27603125572205,no,11075,1,79,M,2026-07-09_09-59-57
26,4,post_stimulation,baseline,1,2,25,9,23,left,right,1,990.8132553100586,False,True,2000.0,250.0,1383.207127571106,137.5284924507141,no,11075,1,79,M,2026-07-09_09-59-57
27,4,post_stimulation,baseline,2,2,25,9,23,right,left,2,658.3070755004883,True,True,2000.0,250.0,1388.1269545555115,142.4483187198639,no,11075,1,79,M,2026-07-09_09-59-57
28,4,post_stimulation,baseline,3,2,25,9,23,left,right,2,1452.6188373565674,True,True,2000.0,250.0,1393.8402585983276,148.16162276268005,no,11075,1,79,M,2026-07-09_09-59-57
29,4,post_stimulation,baseline,4,2,25,9,23,right,left,1,711.1647129058838,False,True,2000.0,250.0,1398.8128247261047,153.13418889045715,no,11075,1,79,M,2026-07-09_09-59-57
30,4,post_stimulation,baseline,5,2,25,9,23,left,right,2,732.6509952545166,True,True,2000.0,250.0,1403.808266878128,158.12963128089905,no,11075,1,79,M,2026-07-09_09-59-57
31,4,post_stimulation,baseline,6,2,25,9,23,right,left,1,939.5549297332764,False,False,2000.0,250.0,1409.009115934372,163.33048057556152,no,11075,1,79,M,2026-07-09_09-59-57
32,4,post_stimulation,baseline,7,2,25,9,23,right,left,2,642.350435256958,True,False,2000.0,250.0,1413.9125216007233,168.23388576507568,no,11075,1,79,M,2026-07-09_09-59-57
