subject_id,in_dissertation,counterbalance,behavioral_runs,eeg_runs,has_behavioral,has_eeg
10998,True,B,8,7,True,True
11773,True,B,8,8,True,True
10886,True,B,8,8,True,True
10656,True,A,8,8,True,True
10951,True,A,8,8,True,True
10418,True,B,8,8,True,True
10636,True,B,8,8,True,True
11318,True,B,8,8,True,True
10369,True,B,8,8,True,True
10606,True,A,8,8,True,True
11628,True,A,8,8,True,True
11286,True,A,8,8,True,True
10866,True,B,8,8,True,True
11329,True,B,8,8,True,True
10608,True,A,8,8,True,True
10559,True,A,8,8,True,True
10589,True,A,8,8,True,True
11563,True,A,8,8,True,True
10649,True,A,8,8,True,True
11030,True,A,8,0,True,False
10809,True,B,8,8,True,True
10961,True,B,0,8,False,True
10541,True,B,8,8,True,True
10641,True,A,8,8,True,True
10862,True,B,8,8,True,True
10661,True,B,8,8,True,True
10638,True,B,8,8,True,True
11631,True,A,8,8,True,True
11016,True,B,8,8,True,True
10716,True,B,8,8,True,True
11526,True,B,8,8,True,True
10810,True,A,8,8,True,True
10804,True,B,8,8,True,True
10898,True,A,8,8,True,True
10590,True,B,8,8,True,True
10950,True,A,8,8,True,True
11036,True,B,8,8,True,True
11031,True,A,8,8,True,True
10617,True,B,8,8,True,True
11066,False,B,0,0,False,False
10685,False,A,8,8,True,True
11440,False,A,8,8,True,True
11116,False,B,8,8,True,True
11326,False,A,7,8,True,True
11168,False,A,8,8,True,True
11681,False,B,8,8,True,True
11570,False,A,8,8,True,True
11920,False,A,8,7,True,True
11861,False,A,8,0,True,False
11542,False,A,8,0,True,False
11316,False,B,8,0,True,False
11606,False,A,7,8,True,True
11472,False,A,0,8,False,True
11885,False,A,8,8,True,True
11433,False,A,8,0,True,False
11461,False,A,8,8,True,True
11622,False,A,8,8,True,True
11439,False,A,0,8,False,True
11075,False,B,8,8,True,True
11330,False,B,8,8,True,True
11900,False,A,8,8,True,True
10741,False,B,8,8,True,True
10896,False,A,8,8,True,True
11492,False,A,8,8,True,True
11539,False,B,8,8,True,True
11854,False,B,8,8,True,True
