group,variable,n_present,n_missing,status,by_design,excluded,absent
behavioral (sham),sham_p_stay_win,59,7,ok,0,1,6
behavioral (sham),sham_p_shift_lose,59,7,ok,0,1,6
behavioral (sham),sham_alpha,59,7,ok,0,1,6
behavioral (sham),sham_beta,59,7,ok,0,1,6
behavioral (sham),sham_accuracy,59,7,ok,0,1,6
behavioral (sham),sham_win_rate,59,7,ok,0,1,6
behavioral (active),active_p_stay_win,55,11,ok,0,7,4
behavioral (active),active_p_shift_lose,55,11,ok,0,7,4
behavioral (active),active_alpha,55,11,ok,0,7,4
behavioral (active),active_beta,55,11,ok,0,7,4
behavioral (active),active_accuracy,55,11,ok,0,7,4
behavioral (active),active_win_rate,55,11,ok,0,7,4
EEG,theta_p95,59,7,ok,0,0,7
EEG,theta_p75,59,7,ok,0,0,7
EEG,theta_median,59,7,ok,0,0,7
demographics,age,65,1,ok,0,0,1
demographics,gender,66,0,ok,0,0,0
demographics,race,66,0,ok,0,0,0
demographics,ethnicity,66,0,ok,0,0,0
demographics,education_years,63,3,ok,0,0,3
cognition,hvlt_total,66,0,ok,0,0,0
cognition,flanker_score,63,3,ok,0,0,3
cognition,running_dots_score,57,9,ok,0,0,9
cognition,salthouse_letter,65,1,ok,0,0,1
cognition,salthouse_pattern,65,1,ok,0,0,1
cognition,digit_span_total,26,40,ok,40,0,0
cognition,bvmt_total,30,36,ok,36,0,0
cognition,trails_a_time,28,38,ok,38,0,0
questionnaires,spsrq_sr,61,5,ok,0,0,5
questionnaires,spsrq_sp,61,5,ok,0,0,5
questionnaires,bpsqi_global,65,1,ok,0,0,1
questionnaires,ffmq_total,65,1,ok,0,0,1
questionnaires,crt_total,66,0,ok,0,0,0
questionnaires,bbs_avg,25,41,ok,41,0,0
questionnaires,audit_total,15,51,ok,0,0,51
questionnaires,ctq_total,66,0,ok,0,0,0
questionnaires,promis_anxiety,15,51,ok,0,0,51
questionnaires,loneliness_total,13,53,ok,0,0,53
