variable,dv,n,r,p,b_adj_for_baseline,p_adj_for_baseline,q
flanker_score,delta_ttc_reach_rate,54,-0.43956096985571413,0.0008824265367948754,-0.05981295598208003,0.10808461786711934,0.34090616992371237
global_reduced,delta_ttc_reach_rate,57,-0.3958133793892824,0.0023064491458886153,-0.08046163909552217,0.0398935024808225,0.34090616992371237
speed_reduced,delta_ttc_reach_rate,56,-0.38644338551411417,0.003262349068874939,-0.06562324653075836,0.0285589118572138,0.34090616992371237
salthouse_pattern,delta_ttc_reach_rate,56,-0.38553225343038655,0.0033425281905364954,-0.006471104054460756,0.058875073888768906,0.34090616992371237
mspss_significant_other,delta_ttc_censored,52,0.3955687571690868,0.0037013360595527477,0.5838744861152314,0.04427491315926833,0.34090616992371237
norc_lifetime,delta_ttc_censored,57,-0.3779689138195589,0.0037464997310074294,-1.0131815604953784,0.029754164089839216,0.34090616992371237
eros_int_worsening,delta_win_rate,57,0.3775134859073165,0.003791867162643244,0.02194375128405293,0.028564201961565446,0.34090616992371237
gti_score,delta_win_rate,52,0.3928732970067891,0.003964025231671074,0.047617122213720144,0.00032984541009452534,0.34090616992371237
panas_pre_positive,delta_accuracy,57,0.365118950848073,0.005228020400318795,0.004476007727794349,0.01710367972956601,0.36951623331756284
mspss_friends,delta_ttc_censored,52,0.38066043913082814,0.0053708754842669015,0.5795645107701575,0.14050838574677665,0.36951623331756284
eros_int_worsening,delta_ttc_reach_rate,57,0.35478243114552854,0.006770846268032743,0.06835057046517827,0.04149604469806932,0.40528143720303583
age,delta_ttc_reach_rate,57,0.35098436962302515,0.007430392648452406,0.002918140460979835,0.04571688511942967,0.40528143720303583
eros_int_worsening,delta_p_stay_win,57,0.3468256015274588,0.00821618645056412,0.03645253320105912,0.037572632072117224,0.40528143720303583
gti_score,delta_beta_hb,52,0.3626041472202677,0.00824700598959666,0.5662547841627426,0.012087641746805131,0.40528143720303583
mspss_friends,delta_ttc_reach_rate,52,-0.3577914125760639,0.009209345601196904,-0.0283007276675029,0.3062187347062258,0.4059691746843659
ef_reduced,delta_ttc_reach_rate,54,-0.3485472184465468,0.009797105216638485,-0.039174908052251614,0.35253765537372667,0.4059691746843659
present_bias_10wk,delta_alpha_hb,57,-0.33615780347285595,0.01057061164384524,-0.019823467937418425,0.02518461745785114,0.4059691746843659
panas_pre_positive,delta_beta_hb,57,0.33256436408528367,0.011485363380743522,0.03066036787358005,0.1471521235795962,0.4059691746843659
gti_score,delta_accuracy,52,0.3473810423934294,0.01162836589021341,0.07277657135954899,0.0007334125886869511,0.4059691746843659
planfulness_to,delta_p_shift_lose,57,0.32993701619848226,0.012196689808851562,0.07047566769335332,0.030726807530243223,0.4059691746843659
speed_composite,delta_ttc_reach_rate,56,-0.3317879680642435,0.012486805438312357,-0.06553617154145036,0.04275478091355103,0.4059691746843659
ios_computer,delta_ttc_reach_rate,57,0.3251412870471742,0.013593247481971228,0.029266655033495854,0.18095818403569144,0.4059691746843659
norc_lifetime,delta_ttc_reach_rate,57,0.3234915157179041,0.01410441923165926,0.03445012499295157,0.31887048971388193,0.4059691746843659
salthouse_letter,delta_ttc_reach_rate,56,-0.3261514883225679,0.014161715395966251,-0.007608706774380036,0.034165773383042976,0.4059691746843659
ffmq_describe,delta_ttc_censored,57,0.31683215281520355,0.01633889507760193,0.6766721273271729,0.17468337832096656,0.4262977963416986
planfulness_cs,delta_p_shift_lose,57,0.31501422039176363,0.016999025774983655,0.05958589155847959,0.07830400881116611,0.4262977963416986
panas_pre_positive,delta_win_rate,57,0.3148273118369236,0.01706816859186963,0.002678318558286519,0.020527733142975825,0.4262977963416986
aq_imagination,delta_ttc_reach_rate,55,0.3196881085216677,0.017349328920883086,0.03395367526875877,0.025508402790358247,0.4262977963416986
present_bias_14wk,delta_alpha_hb,57,-0.31176002949802734,0.018237583482911594,-0.02204331458401382,0.03144812676221026,0.4277392169543256
mspss_total,delta_ttc_censored,52,0.3252059617236569,0.018651419343938616,0.44557288185264693,0.27883810290513794,0.4277392169543256
ef_composite,delta_ttc_reach_rate,56,-0.3106224149765887,0.01980513912269142,-0.028825080381865487,0.4793724153011106,0.4395463134326354
ios_computer,delta_ttc_censored,57,-0.30348139831662524,0.021739497729472323,-0.5492268467488184,0.06745387915913707,0.45278669292239765
aq_total,delta_win_rate,55,-0.3075506763613204,0.02236342003870659,-0.0030407946422485784,0.016738290832917557,0.45278669292239765
global_composite,delta_ttc_reach_rate,57,-0.3020997422297489,0.022376086568839416,-0.061976484624659156,0.14778138920146058,0.45278669292239765
flanker_score,delta_p_stay_win,54,-0.3080115070916823,0.023460684497352027,-0.02147876294746846,0.22580081492142792,0.46117002669080553
susd_depression,delta_win_rate,57,-0.2981421141634074,0.024287384103715386,-0.003729789670711242,0.061505994666689726,0.4622905659629575
panas_post_positive,delta_accuracy,57,0.29602018909027694,0.025367606253133,0.0024574321625173627,0.1352013920352521,0.4622905659629575
mspss_total,delta_alpha_hb,52,-0.30878325511268845,0.025928713518963892,-0.030269445334198654,0.09691606288965117,0.4622905659629575
present_bias_9wk,delta_alpha_hb,57,-0.29442617471246924,0.026205424524062996,-0.02260889312407225,0.03418945568233431,0.4622905659629575
eros_ext_improving,delta_ttc_reach_rate,57,-0.29272664259514,0.027124193493448752,-0.042576317763208006,0.24959315387905798,0.46433724118346625
eros_int_worsening,delta_accuracy,57,0.2917375046063899,0.0276712600123868,0.023231943218862044,0.1516370400972532,0.46433724118346625
eros_int_worsening,delta_ttc_censored,57,-0.2893241017730133,0.02904498789656274,-0.9782947043188781,0.03714004340847691,0.4757845636389325
