statistic,subject_id,condition,observed,pred_median,pred_lo,pred_hi,inside
accuracy,10369,active,0.5294736842105263,0.5100877192982456,0.440594298245614,0.596186403508772,True
accuracy,10369,sham,0.5083947583947583,0.5155610155610155,0.4342751842751843,0.603403972153972,True
accuracy,10418,active,0.463768115942029,0.5362318840579711,0.4057971014492754,0.6521739130434783,True
accuracy,10418,sham,0.6104572641327417,0.7016206830021223,0.5970432182133899,0.8126615859540806,True
accuracy,10541,active,0.6563492063492063,0.7107142857142856,0.5843253968253967,0.817063492063492,True
accuracy,10541,sham,0.6637700534759359,0.6940730837789661,0.5738469251336898,0.7990307486631016,True
accuracy,10559,active,0.5741176470588236,0.5961764705882353,0.5022867647058824,0.6845759803921568,True
accuracy,10559,sham,0.6022897897897898,0.68506006006006,0.5712509384384384,0.7811186186186183,True
accuracy,10589,active,0.7140873750462791,0.7350518326545723,0.6124004998148834,0.8433473713439467,True
accuracy,10589,sham,0.7894736842105263,0.7039473684210527,0.5921052631578947,0.7894736842105263,True
accuracy,10590,active,0.6368243243243243,0.6726726726726727,0.550830518018018,0.7744181681681682,True
accuracy,10590,sham,0.5381468797564688,0.641029299847793,0.5311524923896499,0.7378733828006088,True
accuracy,10606,active,0.4727951635846373,0.500622332859175,0.4165673897581792,0.5735286273115221,True
accuracy,10606,sham,0.5657894736842105,0.5,0.3815789473684211,0.6253289473684207,True
accuracy,10608,active,0.6112006446414182,0.6919822723609992,0.5845386784850927,0.7867269339242546,True
accuracy,10608,sham,0.6129385964912281,0.7149122807017544,0.5902229532163742,0.8152046783625729,True
accuracy,10617,active,0.7837837837837838,0.7567567567567568,0.6283783783783784,0.8445945945945946,True
accuracy,10617,sham,0.619718309859155,0.6901408450704225,0.5737676056338028,0.795774647887324,True
accuracy,10636,active,0.9207616707616708,0.7687785187785188,0.6346437346437346,0.8612934362934362,False
accuracy,10636,sham,0.7713371266002844,0.7652027027027026,0.6266847439544808,0.8566678520625888,True
accuracy,10638,active,0.5821256038647343,0.5966183574879227,0.5027173913043478,0.7049894323671496,True
accuracy,10638,sham,0.5616438356164384,0.5205479452054794,0.4416095890410959,0.5962328767123285,True
accuracy,10641,active,0.6704500978473581,0.6433463796477495,0.5394178082191781,0.7414603718199608,True
accuracy,10641,sham,0.5694736842105264,0.609078947368421,0.5097368421052632,0.6987872807017542,True
