block,key,value,n,note,excluded
age_x_efield,r age x mean |E|,-0.30032662915024244,59,p = 0.0208,
age_x_efield,r age x p95 |E|,-0.28943593836119363,59,p = 0.0262,
age_x_efield,r age x peak |E|,-0.30108197844706885,59,p = 0.0205,
age_x_efield,r age x median |E|,-0.3123611592666766,59,p = 0.0160,
age_x_efield,"r age x |E|, T1-only included",-0.34402920640202656,66,p = 0.0047,
age_x_efield,"T1-only |E| vs FLAIR, raw means, %",-28.197146859933632,66,,
age_x_efield,"T1-only |E| difference, age-adjusted, %",-25.748980113586196,66,p = 0.0131 controlling for age,
age_bands,"band n, younger than 40",28.0,59,,
age_bands,"band n, 55 and over",26.0,59,,
age_bands,"band n, 40-54 (excluded from the contrast)",5.0,59,,
age_bands,"|E| DLPFC: r x age, whole sample",-0.30032662915024244,59,p = 0.0208,
age_bands,|E| DLPFC: r x age within younger band,-0.17938336381386316,28,p = 0.361,
age_bands,|E| DLPFC: r x age within older band,0.08879416102279013,26,p = 0.666,
age_bands,|E| DLPFC: between-band d (old - young),-0.7685952405798196,54,"t(49) = +2.84, p = 0.0066",
age_bands,"scalp-cortex dist: r x age, whole sample",0.2930763915788996,59,p = 0.0243,
age_bands,scalp-cortex dist: r x age within younger band,0.15025500950561435,28,p = 0.445,
age_bands,scalp-cortex dist: r x age within older band,-0.01706467319045378,26,p = 0.934,
age_bands,scalp-cortex dist: between-band d (old - young),0.6803259571011918,54,"t(51) = -2.51, p = 0.0154",
age_bands,"skull thickness: r x age, whole sample",0.3498962261388669,59,p = 0.0066,
age_bands,skull thickness: r x age within younger band,0.11776268449562471,28,p = 0.551,
age_bands,skull thickness: r x age within older band,-0.03741260402158723,26,p = 0.856,
age_bands,skull thickness: between-band d (old - young),0.9084689670763508,54,"t(51) = -3.33, p = 0.0016",
age_bands,"DLPFC thickness: r x age, whole sample",-0.641147439597307,59,p = 0.0000,
age_bands,DLPFC thickness: r x age within younger band,-0.24039423590315,28,p = 0.218,
age_bands,DLPFC thickness: r x age within older band,-0.4990640476003848,26,p = 0.009,
age_bands,DLPFC thickness: between-band d (old - young),-1.3758171707379658,54,"t(48) = +5.03, p = 0.0000",
age_bands,"whole-head CSF: r x age, whole sample",0.6508302404184257,59,p = 0.0000,
age_bands,whole-head CSF: r x age within younger band,-0.08040526795728645,28,p = 0.684,
age_bands,whole-head CSF: r x age within older band,0.5498629592091984,26,p = 0.004,
age_bands,whole-head CSF: between-band d (old - young),1.5133209471256235,54,"t(40) = -5.51, p = 0.0000",
roi_coverage,"GM elements in ROI, min",20.0,59,,
roi_coverage,"GM elements in ROI, max",4757.0,59,,
roi_coverage,r coverage x age,-0.41642373133278565,59,p = 0.0010,
roi_coverage,r coverage x |E|,0.8466332571578814,59,p = 0.0000,
roi_coverage,"age effect on |E| controlling coverage, p",0.4198947758458347,59,,
roi_coverage,r age x parcel |E|,-0.3254541936766028,59,p = 0.0119,
roi_coverage,r parcel x sphere |E|,0.9522051697536926,59,,
mechanism,r distance x |E|,-0.8987855047321565,59,p = 4.5e-22,
mechanism,r DLPFC thickness x |E| (charm),0.2211601341357497,59,p = 0.092,
mechanism,r DLPFC thickness x |E| (FreeSurfer),0.20691526760518025,59,p = 0.116,
mechanism,"distance mediation, % mediated",86.55383486658977,59,"indirect CI [-0.00078, -0.00009], direct p = 0.511",
mechanism,"  variant dist_pial_dlpfc_min, % mediated",97.07511468800837,59,sig,
mechanism,"  variant dist_central_dlpfc_min, % mediated",94.57827443853935,59,sig,
mechanism,"  variant dist_central_dlpfc_p1, % mediated",79.48612158238507,59,sig,
mechanism,"  variant dist_pial_p1, % mediated",34.494652667567,59,n.s.,
mechanism,"  variant dist_central_p1, % mediated",33.2987456301343,59,n.s.,
mechanism,a-path: r age x distance,0.2930763915788996,59,p = 0.0243,
two_pipelines,"r charm x FS thickness, whole hemisphere",0.8916837314914039,66,all head models,
two_pipelines,"r charm x FS thickness, DLPFC",0.8203569617464934,66,all head models,
two_pipelines,r age x DLPFC thickness (charm),-0.6643385337522102,59,p = 9.6e-09,
two_pipelines,r thickness x distance (charm),-0.214681404870118,59,p = 0.103,
two_pipelines,"thickness explains age->distance, p (charm)",0.8349703923951423,59,,
two_pipelines,"horse race: thickness | distance, p (charm)",0.6231870707270329,59,,
two_pipelines,r age x DLPFC thickness (FS),-0.641147439597307,59,p = 4.5e-08,
two_pipelines,r thickness x distance (FS),-0.1804488745452643,59,p = 0.171,
two_pipelines,"thickness explains age->distance, p (FS)",0.9396488899293725,59,,
two_pipelines,"horse race: thickness | distance, p (FS)",0.43838055041153656,59,,
atrophy,total GM / ICV: r x age,-0.7750238775294753,59,p = 5.8e-13,
atrophy,total GM / ICV: r x |E|,0.22679930669660983,59,p = 0.084,
atrophy,ventricles / ICV: r x age,0.6746946516941914,59,p = 4.6e-09,
atrophy,ventricles / ICV: r x |E|,-0.21518637368214055,59,p = 0.102,
atrophy,DLPFC thickness: r x age,-0.641147439597307,59,p = 4.5e-08,
atrophy,DLPFC thickness: r x |E|,0.20691526760518025,59,p = 0.116,
atrophy,whole-head CSF / ICV: r x age,0.8081399520554864,59,p = 1e-14,
atrophy,whole-head CSF / ICV: r x |E|,-0.34298005235892054,59,p = 0.008,
atrophy,cortical GM / ICV: r x age,-0.7372943550486812,59,p = 2.8e-11,
atrophy,cortical GM / ICV: r x |E|,0.13169240203423246,59,p = 0.320,
atrophy,brain / ICV: r x age,-0.7964186290457429,59,p = 4.6e-14,
atrophy,brain / ICV: r x |E|,0.36215550013942205,59,p = 0.005,
atrophy,mean thickness: r x age,-0.6333059850278258,59,p = 7.3e-08,
atrophy,mean thickness: r x |E|,0.1558030269347814,59,p = 0.239,
atrophy,commonality: geometry unique R2,0.6972390340515479,59,p = 0,
atrophy,commonality: atrophy unique R2,0.018599716643420194,59,p = 0.244,
atrophy,commonality: shared R2,0.11268286376887149,59,,
atrophy,commonality: full R2,0.8285216144638395,59,,
atrophy,r eTIV x age,0.47937169531308704,59,p = 0.000; slope x 40 y = +18.1% of mean eTIV,
atrophy,r measured ICV x age,0.0007827940534627376,59,p = 0.995,
sex,"age x sex on skull, p",0.00518457713718709,59,,
sex,"age main effect with interaction, p",0.9577997818931524,59,,
sex,Female: r skull x age,0.6743411673032272,29,p = 0.0001,
sex,Female: older - younger tertile skull (mm),2.625446143875437,29,,
sex,Male: r skull x age,-0.009052959055621868,30,p = 0.9621,
sex,Male: older - younger tertile skull (mm),0.3576790147474833,30,,
sex,women in the older tertile,8.0,59,,
sex_mechanism,Female: age x distance,0.5128728415921813,29,p = 0.0044,
sex_mechanism,Female: age x |E|,-0.36800338629751617,29,p = 0.0495,
sex_mechanism,Female: age x skull,0.6743411673032272,29,p = 0.0001,
sex_mechanism,Female: % of age->|E| mediated by distance,140.30919014884816,29,"[-0.00140, -0.00034] CI excludes 0",
sex_mechanism,Male: age x distance,0.0011629337926962746,30,p = 0.9951,
sex_mechanism,Male: age x |E|,-0.14615214952068387,30,p = 0.4409,
sex_mechanism,Male: age x skull,-0.009052959055621868,30,p = 0.9621,
sex_mechanism,Male: % of age->|E| mediated by distance,0.6878053891834148,30,"[-0.00045, +0.00049] CI includes 0",
sex_mechanism,"age x sex on skull, controlling ICV, p",0.003435300925554821,59,"women have smaller heads (ICV d = -1.33), so ICV is controlled",
sex_mechanism,older women (55+) in the FLAIR sample,11.0,59,the whole female age effect rests on these,
t1_only,"layer_csf: T1-only effect, p",0.021876413833648918,66,,
t1_only,"csf_charm: T1-only effect, p",0.38519949753900795,66,,
t1_only,"mean_magnE: T1-only effect, p",0.01879962272297519,66,,
t1_only,"layer_skull: T1-only effect, p",0.6303674891853294,66,,
t1_only,"layer_diploe: T1-only effect, p",0.41383901615996643,66,,
t1_only,"layer_inner_table: T1-only effect, p",0.8860901299176733,66,,
global_atrophy,DLPFC thickness ~ age | mean thickness: b,-0.000998478889540369,59,p = 0.099,
global_atrophy,rostralmiddlefrontal: r x age (rank of 34),-0.5817661219330102,59,rank 9,
global_atrophy,caudalmiddlefrontal: r x age (rank of 34),-0.6608685503461851,59,rank 2,
global_atrophy,median parcel r x age,-0.46335393253078505,59,,
batch,"lh_dlpfc_thickness: delivery effect, p",0.5059694327495751,66,,
batch,"lh_mean_thickness: delivery effect, p",0.8521853264221078,66,,
batch,"cortex_vol: delivery effect, p",0.6464636812625201,66,,
batch,"etiv: delivery effect, p",0.28491781411113504,66,,
batch,"surface_holes: delivery effect, p",0.8183383724161312,66,,
