model,dv,legacy_b,legacy_p,new_b,new_p,n,verdict
H1.1a  p(stay|win),sham_p_stay_win,0.04980789402852135,0.2605807724605062,0.043109665216599084,0.3058148580421341,57,same
H1.1b  p(shift|lose),sham_p_shift_lose,-0.049056717138419983,0.30487905810972576,-0.0669274253439514,0.13843119500710513,57,same
H1.2a  + SPSRQ-SR,sham_p_stay_win,0.0711167090834348,0.149789411975652,0.06074141958588676,0.19218346681115886,54,same
H1.2b  + SPSRQ-SP,sham_p_shift_lose,-0.02394136401909712,0.6426702096991261,-0.047623576888656795,0.3299691158264408,54,same
H1.1.1 beta -> loseshift,sham_p_shift_lose,-0.05456200409054651,0.24392596753328424,-0.07298305201912782,0.09877241034923523,57,same
H2.2   d accuracy,delta_accuracy,-0.024222229752356467,0.3682435060888362,-0.017402144652411897,0.49891271797224773,56,same
H2.2   d win rate,delta_win_rate,0.012356461394448888,0.4483694544302135,0.01048085644580944,0.500681985373459,56,same
H2.2   d alpha,delta_alpha,-0.004250252154425833,0.9632593287803929,0.014850764933341476,0.8660573077337953,56,same (both null)
H2.2   d beta,delta_beta,-1.1896150458676162,0.48065368299627964,-1.3589572830307377,0.3980893920567326,56,same
H2.2   d p(stay|win),delta_p_stay_win,-0.0003852757932896675,0.9897704791483686,0.004074245793351857,0.8870178022196783,56,same (both null)
H2.2   d p(shift|lose),delta_p_shift_lose,-0.0006846580012719039,0.9831860824629649,0.013986137708730789,0.6516040359821758,56,same (both null)
theta  d accuracy,delta_accuracy,-0.010092125503134536,0.7147977260005245,-0.003655462236171603,0.889157548042428,53,same
theta  d win rate,delta_win_rate,0.02117519004715862,0.2028965777995543,0.017885680147661426,0.257976346368875,53,same
H2.2   d alpha (hb),delta_alpha_hb,-0.040612945507496105,0.27022446705369974,-0.04668517566447151,0.18175927021129773,54,same
H2.2   d beta  (hb),delta_beta_hb,-0.006106755784163448,0.9837378472331009,0.16151700840164515,0.5704880135831188,54,same (both null)
moderation p(stay|win),sham_p_stay_win,0.003502139355329182,0.057246526952520145,0.0034492757934810633,0.060905333179477876,60,same
moderation p(shift|lose),sham_p_shift_lose,0.0034123828555879523,0.08224497698581822,0.0029300958870947394,0.13189209799968907,60,same
moderation alpha,sham_alpha,0.008514920057804437,0.04039129293586289,0.006412532870509681,0.12514800969902992,60,** SIGNIFICANCE FLIPS **
moderation beta,sham_beta,-0.0735745596206469,0.4193792442715704,-0.07168893525667587,0.4300052277565389,60,same
