group,variable,label,n,mean,sd,skew,shapiro_p,n_outliers
Demographics,age,Age,61,47.692131147540984,19.05242330297768,0.05038850776468641,2.6866930652860206e-05,0.0
Demographics,education_years,Education (y),56,16.535714285714285,2.6830395633872604,1.1541769096696104,0.00012985737941125804,2.0
Cognition,global_reduced,Global cognition,61,0.008441596058270467,0.7188495263169881,-0.1243745054383589,0.7889763270425303,0.0
Cognition,ef_reduced,Executive function,58,0.006004865626976013,0.8055399466104353,-0.27811667207876023,0.11957434881005136,0.0
Cognition,memory_reduced,Memory,61,0.005427387495559221,0.9918484084554929,-0.2595321581182402,0.26712184869509636,0.0
Cognition,speed_reduced,Speed,60,0.03310662826925215,0.9327842395721276,0.04398212345837822,0.6525806822984195,0.0
Cognition,kbit_iq,KBIT IQ,59,110.0,11.885952299625197,0.060146266476576886,0.13805908031098957,0.0
Cognition,scd_q,SCD-Q,61,1.2762295081967217,0.9354859057096588,1.5162783360416858,2.315821237668944e-05,2.0
Baseline behaviour,sham_accuracy,Accuracy,61,0.6490910316538341,0.09789251128692394,0.15861183415767166,0.30376090558966384,0.0
Baseline behaviour,sham_win_rate,Win rate,61,0.5734687168056694,0.05608877348480662,0.31864152192551926,0.3472097601228661,0.0
Baseline behaviour,sham_p_stay_win,p(stay|win),61,0.8307494069688163,0.1705996615637638,-1.025847203038287,1.0687859160408448e-06,6.0
Baseline behaviour,sham_p_shift_lose,p(shift|lose),61,0.5571237653309085,0.1805620195052278,0.580448512395781,0.05442255015419244,0.0
Baseline behaviour,sham_ttc,Trials to criterion,61,3.9139344262295084,2.506286873429439,1.6894006381772384,3.840001219972756e-06,3.0
Baseline behaviour,sham_alpha_hb,alpha,57,0.6505823283684211,0.3259681975134841,-0.5539934809936421,5.299688940188693e-06,0.0
Baseline behaviour,sham_beta_hb,beta,57,2.950196205263158,1.388367077926336,0.7659748200744273,0.012445179929569072,0.0
Stimulation change,delta_accuracy,d accuracy,57,-0.016676013156712743,0.11043392561881733,-0.848722174885983,0.03213278156132717,1.0
Stimulation change,delta_win_rate,d win rate,57,-0.012114371007023525,0.06788043434664351,0.10700649873220533,0.8083436256289884,0.0
Stimulation change,delta_p_stay_win,d p(stay|win),57,0.006524538283414604,0.12092426012284758,-0.5478609000160795,0.0007543492225118261,4.0
Stimulation change,delta_p_shift_lose,d p(shift|lose),57,-0.008148571485143108,0.13069043769238328,0.1966565723058785,0.33737220551632685,0.0
Stimulation change,delta_ttc,d TTC,57,0.10526315789473688,3.0738886201285376,-0.8415718724338046,0.011540636154138993,1.0
Stimulation change,delta_alpha_hb,d alpha,57,0.026250481246491222,0.1421101619461391,0.6269220990809171,1.6507254527883013e-05,10.0
Stimulation change,delta_beta_hb,d beta,57,-0.18283066099473685,1.1901891639375055,-0.06917704583006173,0.7601292453127317,0.0
Surveys,spsrq_sr,SPSRQ reward,57,25.228070175438596,5.985152891768481,0.43424328185879374,0.16305135893661343,0.0
Surveys,spsrq_sp,SPSRQ punishment,57,27.087719298245613,8.498488734883535,0.09552748270333358,0.037736104662736,0.0
Surveys,bpsqi_global,Sleep (B-PSQI),61,4.032786885245901,2.3591468310581694,0.4443166614044203,0.004587721133272314,0.0
Surveys,ffmq_total,FFMQ,61,3.6535519125683056,0.45960041777551647,-0.3826456931435624,0.48141045397263177,0.0
Surveys,crt_total,CRT,61,2.639344262295082,2.041509138564296,0.23587229730757103,5.898158653891543e-05,0.0
Physiology and anatomy,theta_p95,Theta reactivity,56,259.6949826806518,62.270856523268655,1.2329693874148702,6.91536017829503e-05,3.0
Physiology and anatomy,mean_magnE,|E| DLPFC,61,0.1091955458906304,0.031155313468955954,0.44982317329684096,0.20506810741375953,0.0
Physiology and anatomy,dist_pial_dlpfc_p1,Scalp-cortex distance,61,17.070875950366673,2.0497507187111554,0.058209460041019595,0.8632348532190701,0.0
Physiology and anatomy,layer_skull,Skull thickness,61,7.947717139773455,1.7115414760012833,0.05861082143854518,0.02502306300568403,0.0
Physiology and anatomy,csf_charm,CSF volume,61,309127.44682966196,58436.78129552118,0.5218486977179332,0.06126518303410902,0.0
Physiology and anatomy,lh_dlpfc_thickness,DLPFC thickness,61,2.3589469450119736,0.14958137035526348,-0.5478563350818478,0.07328191681395241,1.0
age_bands,global_reduced,Global cognition,61,-1.2799725012571077,,,,
age_bands,ef_reduced,Executive function,59,-1.658520253278693,,,,
age_bands,mean_magnE,|E| DLPFC,54,-0.7685952405798201,,,,
age_bands,dist_pial_dlpfc_p1,Scalp-cortex dist,54,0.6803259571011918,,,,
age_bands,layer_skull,Skull thickness,54,0.9084689670763516,,,,
age_bands,sham_ttc,Trials to criterion,57,-0.6135823574822604,,,,
VIF,global_reduced,H1.1 / H1.1.2 covariates,56,1.6298527608937305,,,,
VIF,age,H1.1 / H1.1.2 covariates,56,1.7617753074204936,,,,
VIF,education_years,H1.1 / H1.1.2 covariates,56,1.1205453500800253,,,,
VIF,sham_beta_hb,H1.1.1 (adds beta),52,1.0563475426143125,,,,
VIF,global_reduced,H1.1.1 (adds beta),52,1.771779796560984,,,,
VIF,age,H1.1.1 (adds beta),52,1.8544648811933384,,,,
VIF,education_years,H1.1.1 (adds beta),52,1.1203397319940713,,,,
VIF,spsrq_sr,H1.2 (adds SPSRQ),53,1.1210232449010968,,,,
VIF,spsrq_sp,H1.2 (adds SPSRQ),53,1.1921717730594972,,,,
VIF,global_reduced,H1.2 (adds SPSRQ),53,1.8695336315550208,,,,
VIF,age,H1.2 (adds SPSRQ),53,2.276282860599936,,,,
VIF,education_years,H1.2 (adds SPSRQ),53,1.1252675827216692,,,,
VIF,age,H2.2,61,1.547021388737832,,,,
VIF,global_reduced,H2.2,61,1.5470213887378317,,,,
VIF,theta_p95,theta models,56,1.0008237437961696,,,,
VIF,age,theta models,56,1.5523337857497577,,,,
VIF,global_reduced,theta models,56,1.5517338649558998,,,,
reliability,accuracy,split-half,59,0.6903290799995374,,,,
reliability,p_stay_win,split-half,59,0.8852457654995188,,,,
reliability,p_shift_lose,split-half,59,0.8180558446042966,,,,
