variable,n,r,p,r_young,r_old,band_d,band_p,q
ef_reduced,58,-0.6749939511514094,6.214373790152139e-09,-0.32801477960367875,-0.45069056559862464,-1.6212134531874614,1.9285767215336447e-07,6.649379955462789e-07
attention_composite,59,-0.6562966343338447,1.6688586985744682e-08,-0.36359643852781093,-0.32574366320693615,-1.6002365926832616,1.7414247896088253e-07,8.928394037373405e-07
ef_composite,60,-0.6366117445128779,4.5666860041337044e-08,-0.36359643852781093,-0.4506389149629222,-1.3986134514254958,2.2390543818972327e-06,1.628784674807688e-06
flanker_score,58,-0.6333954163746828,9.50111416702705e-08,-0.3478199830693999,-0.27199676851765253,-1.52403385120538,7.706673294649531e-07,2.541548039679736e-06
global_reduced,61,-0.5946398288215891,4.34602653466123e-07,-0.220975135878052,-0.4284512467575297,-1.3104173363589762,7.637401722486509e-06,9.300496784175033e-06
speed_reduced,60,-0.5783388348916992,1.3017388185261707e-06,-0.0968327459185011,-0.45519796403443125,-1.2730396582774164,1.4506319666929057e-05,2.3214342263716712e-05
salthouse_letter,60,-0.5682239156231986,2.1832065512188744e-06,-0.1044477425588387,-0.49654405123031403,-1.1769429268122353,4.98703045730031e-05,3.337187156863137e-05
global_composite,61,-0.5414920120108557,6.596509084952708e-06,-0.22204232935530183,-0.44760899751523353,-1.0975249167666006,0.00012722819065293922,8.822830901124247e-05
speed_composite,60,-0.5259153389882034,1.5936045483559672e-05,-0.0968327459185011,-0.5250632648798699,-1.039458455368863,0.00027996075237140974,0.00018946187408232056
scaared_somatic,59,-0.5108932963931045,3.557017577214816e-05,-0.07862825348732772,-0.04830393158859114,-1.1965953147348116,9.685748048936551e-05,0.0003806008807619853
salthouse_pattern,60,-0.4975051672794173,5.251117825060947e-05,-0.06385471563858242,-0.3282454079627049,-1.0819231783850656,0.0001767352907620456,0.00047255103532402456
set_shifting_score,58,-0.5037576993221291,5.54978997035932e-05,-0.23068369465091718,-0.3495786257017626,-1.0425246212082784,0.00030255527442142485,0.00047255103532402456
scaared_total,59,-0.499043416884114,5.741274260946093e-05,0.020322820054741335,-0.13235769121483587,-1.1700361912061954,9.464850394620786e-05,0.00047255103532402456
scaared_gad,59,-0.46641851668910506,0.000196563446316287,0.0919350507608834,-0.13855627035359697,-1.0727430465911765,0.00024021490624491238,0.001502306339703051
eros_int_worsening,61,0.4570602959140342,0.00021315117242591975,-0.013795292125829466,-0.18107005987536376,1.1874827334374614,5.9226044366092694e-05,0.0015204783633048944
running_dots_score,53,-0.4623349396732987,0.0004915377762922678,-0.218525148731812,-0.39959034653716663,-0.9058952317456406,0.0025796909504768014,0.003287158878954541
ios_investment_stranger,39,0.4927986409847248,0.0014365507238712873,-0.05314163065492772,-0.09944552554724014,1.3143032288604397,0.0002855242191071596,0.009041819262013397
sham_rt_mean,61,0.3965209260977043,0.0015581230414332375,0.10248157931277999,0.405105975760487,0.739416340310602,0.008237221021439967,0.00926217585740869
panas_post_positive,61,0.37076198099453794,0.003266769248744103,0.14706425661723127,0.06084481319456636,0.783214751410262,0.004727723092036721,0.018397068927137845
peak_magnE,61,-0.366810422205324,0.0036409074239582315,-0.10210312679574249,0.023909756439574825,-0.8577681363748698,0.0024175709447776662,0.01947885471817654
mspss_significant_other,56,0.374305003094075,0.004483528032044229,0.0553837665572744,0.03111180881590367,0.8096419296610482,0.007629350516062225,0.022844642829939643
spsrq_sp,57,-0.3642751684676567,0.0053412179399197285,0.059621975388741116,0.08436055866058619,-0.9035967757487903,0.0018819493886985295,0.025977741798700497
median_magnE,61,-0.3462449891659109,0.006267984668073081,-0.16469971258920296,0.045591559514576746,-0.8247982733879791,0.0033179104799958615,0.029159754760166072
mean_magnE,61,-0.3386454857783812,0.007594917574680843,-0.16965295015608053,0.05121467337163896,-0.7993949432891295,0.004317073590272167,0.03386067418711876
ios_shared_reward_stranger,39,0.41467358134200816,0.008671827773436749,0.04212104041750919,-0.1835129379846498,1.1032074471447901,0.0015934026725529732,0.037115422870309285
p95_magnE,61,-0.3312641035548677,0.00911230101388573,-0.21005518395183284,0.056425849578216336,-0.7573613460222035,0.006563227614724762,0.03750062340329897
mspss_family,56,0.3360447200536171,0.01133760008739039,0.16059891581564023,0.25545614226206126,0.5922780091302597,0.03935204706758973,0.04493048923521377
panas_pre_positive,61,0.3103780190728902,0.014915163942617592,0.07023900632972711,0.10000530320744355,0.6324272215480536,0.02159361439282944,0.05699723363786009
panas_post_negative,61,-0.29577770907985856,0.020648378192023968,-0.18266450354302627,0.1360473363344875,-0.5926197310838409,0.03702445240757329,0.07618539539815741
aq_attention_switching,59,-0.29306288051455803,0.024284129052489566,0.025110625192474825,0.008827621858440937,-0.6615651141046528,0.018248900566738023,0.08661339362054613
ios_computer,61,0.2847285075395006,0.0261450456338177,-0.016361755405788492,0.09440605806389742,0.5866326336247885,0.029866176826584746,0.09024257686511271
mspss_total,56,0.2947545317274911,0.027437366417051728,0.10067807423088707,0.10433191657647871,0.5838450265313626,0.04290600614603714,0.09174369395701672
education_years,56,0.274500965396647,0.04062298189081455,0.4519586654939619,0.330015276297029,0.4126351283876328,0.13509778665767083,0.1317169412823381
eros_int_improving,61,-0.25522765592045366,0.04712619894206762,-0.1081627834803002,0.10257329872560034,-0.5640032378703796,0.03876453527129102,0.14830892020003633
scaared_social,59,-0.2451325509701977,0.061307154236818165,0.031809740878595096,-0.11506512024685184,-0.5162292487219222,0.06264068824682623,0.18670654378885418
present_bias_9wk,61,-0.23918341723706418,0.06338488276124417,-0.1442399621785085,0.1476672855357002,-0.5699128524201413,0.03467759276999406,0.18670654378885418
scd_q,61,-0.23815715845836838,0.06456207588960378,-0.13460869585424798,0.0366480624391362,-0.48837561497474535,0.0714458886172073,0.18670654378885418
present_bias_10wk,61,-0.23242289586663079,0.07146694511668186,-0.1438295763990947,0.12295765298210022,-0.5231038955246158,0.05252537833883161,0.20123587177591998
gti_score,56,0.2387438710720326,0.07639078743383973,-0.16458954062574868,0.3929524439428939,0.3570333035628899,0.20194637734507487,0.20697876877310756
nbs_total,61,-0.227857780333724,0.07737524066284394,-0.018446245641252038,0.359876497907564,-0.7073028132636965,0.009601247195678125,0.20697876877310756
sham_rt_cv,61,-0.2262987025554681,0.07947960504110714,0.04377781114496973,-0.24221631674082286,-0.39918823524449254,0.13819810736265653,0.20742238388776743
bpsqi_global,61,0.21887246591098042,0.09013242119026377,-0.03681594392097588,-0.2854238364907654,0.6736445925697169,0.013795692703630671,0.22868661386000771
tei_selfcontrol,58,0.2233668246702928,0.09190209715869468,-0.13613549768183447,-0.059144430753191826,0.5427926267602752,0.052030336207729455,0.22868661386000771
bsmas_total,61,-0.21354895456270973,0.09843491137194224,0.3438633351352244,-0.06476971277264781,-0.5377377330669448,0.047867409141357946,0.2372186860667087
panas_pre_negative,61,-0.21272904548649996,0.0997648679719803,-0.18545586635126643,-0.008487711784654989,-0.3918468903448528,0.1502731611290187,0.2372186860667087
tei_total,58,0.21042009927795652,0.1128676553669409,-0.0320068772158531,0.029127292858510734,0.4551959499454596,0.10058980073390177,0.26253998096223213
sham_beta,61,0.19478368405957774,0.1325077356217542,-0.05905535912875784,0.0003989949121531132,0.4276694267999843,0.10825079606091656,0.2967473472337921
present_bias_14wk,61,-0.19448195237087856,0.13312030530114038,0.15106134976226443,0.14524829817103163,-0.5112523789725627,0.05796700013705359,0.2967473472337921
hvlt_total,61,-0.19017742179458919,0.1420934032014622,-0.12023541755165117,-0.09396572896979141,-0.3307664792820164,0.2180116441223174,0.2979636365986867
memory_reduced,61,-0.19017742179458913,0.14209340320146333,-0.12023541755165114,-0.09396572896979136,-0.3307664792820166,0.21801164412231716,0.2979636365986867
eros_ext_improving,61,-0.18871261791655253,0.1452478489086045,-0.18764987663395472,0.06616928477658604,-0.4085285402142217,0.12667526549918304,0.2979636365986867
tei_sociability,58,0.1935530638082124,0.14545506483270068,0.2956926378645418,-0.05398916154321989,0.38389746163590444,0.16391445354221243,0.2979636365986867
sham_alpha_sd_hb,57,-0.19427659867720834,0.1475894648572934,-0.06027855652426009,-0.28359618820806737,-0.2784993209606915,0.31547436900651443,0.2979636365986867
present_bias_5wk,61,-0.18477342145155737,0.1539897879748519,-0.2087688025303013,0.06041112991845793,-0.3828941807975661,0.15192377069604246,0.30512791320942884
spsrq_sr,57,-0.18888713858709996,0.15937524055481186,0.44188295644578773,-0.2189225272170714,-0.4419150352730479,0.11233746984425565,0.30595298605670757
scaared_separation,59,-0.18496849695977866,0.16076412939620727,-9.991758700256259e-06,-0.003986379159128278,-0.3838582488561388,0.16437566749451993,0.30595298605670757
susd_mania,61,-0.18038073685134037,0.16419091270032568,-0.020062538414005474,0.14265061991708855,-0.43660311597292134,0.10795699311248746,0.30595298605670757
sham_rt_sd,61,0.17968809224620869,0.16584367468494426,0.13920411134445926,0.14217692378050428,0.3074747320472058,0.2565084584556087,0.30595298605670757
ffmq_nonjudge,61,0.1666160737683631,0.19935752302129284,0.05352851119561067,-0.08196815817437911,0.38561654111668175,0.15060383343437883,0.35817939253993863
memory_composite,61,-0.16607258608401768,0.20084825749903099,-0.12023541755165114,-0.18933834351561124,-0.2420458657416702,0.3681079603694599,0.35817939253993863
sham_lapse_rate,61,0.1627877196614137,0.21002717462100554,-0.0313270039776591,-0.014687806196334866,0.36036788631509975,0.1745545433418592,0.3684083226958622
aq_attention_detail,59,-0.16423104050524812,0.21388565626516798,0.10406608991437949,-0.0678541689506277,-0.3420013936823406,0.20985770021264402,0.3691252454898867
sham_asymptotic_acc,61,-0.15743669664418436,0.2256059158434624,0.3025028278399323,-0.11184350982240603,-0.34056346235533913,0.2020645008107208,0.38317195230556317
kbit_iq,59,-0.15688074598047133,0.23538328157712424,-0.15034333784967951,0.12491402457203843,-0.3206654982184587,0.24136418473119284,0.3897747938175576
aq_social_skill,59,0.1564198729151165,0.2367790803564602,-0.11598511666699976,0.06676135584104877,0.34177578402285824,0.20786447670997943,0.3897747938175576
ffmq_actaware,61,0.1457723622055228,0.26230258632414555,0.06825236370283125,-0.28863735900322635,0.43850408517481815,0.10380455184382092,0.42524813237399356
susd_depression,61,-0.14259028654083147,0.2729739942047753,0.2790914185244696,0.0768320946070401,-0.37764485699157496,0.1574909556686237,0.43594354298374566
aq_total,59,-0.13623809493011785,0.30353546894045585,0.019801179172762647,0.019512442328491576,-0.29340600526709504,0.28353826779143326,0.4776219878915997
sham_win_rate,61,-0.13124588924432004,0.31334579650252503,0.3966329480795208,0.07215209812310677,-0.40111118111434,0.1377831431396041,0.48591304675029245
sham_n_rt_trials,61,-0.12916334711027655,0.3211527838341639,0.07255128926222779,-0.05006367936578909,-0.2683681086276093,0.316953330040682,0.4909049695750791
crt_total,61,-0.1254179522462561,0.33550205571384606,0.08447098645556833,0.20995719233899107,-0.3699838672170159,0.17094844622192418,0.5056157741039652
tei_emotionality,58,0.12639010148563648,0.34445308913879275,0.05097611449586359,0.1974617128868701,0.18958971432361488,0.49150225551662924,0.5118955630257059
eros_ext_worsening,61,0.12038686841293102,0.35539945798429534,-0.1512419037001978,0.020208926135742124,0.2946899694988491,0.2743188452951485,0.5209279726619124
norc_lifetime,61,0.11728484278675819,0.3680215157406616,-0.039336961767466025,-0.16397621674186103,0.33569410162385205,0.20595397409404675,0.5321392187060918
ios_friend,61,0.10343416494517325,0.4276233949649178,-0.3362114437329385,-0.4447118342896256,0.48332268718272187,0.07378275437364963,0.6100760434832828
sham_alpha,61,0.10162179582544949,0.43580750525411405,0.026436702406529664,0.1666782145148906,0.124353909958864,0.640241770163026,0.6135710929235554
ffmq_nonreact,61,-0.09879997968764663,0.44872344847440365,-0.13580164270205763,0.06197166059113289,-0.2275806975502105,0.3901120981974397,0.6235507660618337
sham_rt_post_error,61,0.09742173276352677,0.4551080434327844,0.09402840191981465,-0.2370358737317516,0.27326253006057444,0.3054032661770166,0.6243148800936914
ffmq_observe,61,-0.09274708731200561,0.4771296889762749,0.07049682479063069,-0.03352761650915939,-0.2000702938854396,0.45349172800020904,0.6462389458286255
aq_communication,59,-0.08906842575615756,0.5023194886008328,0.0424826227828105,-0.0864069550825688,-0.15396578504463504,0.573522325203015,0.666233579083314
tei_wellbeing,58,0.08944025015214799,0.5043450458481162,-0.2713104521180506,-0.04302848008299362,0.2575557759209225,0.34909581069661777,0.666233579083314
planfulness_to,61,-0.08544451631518535,0.5126376811394292,0.022694504362368254,-0.16662158815330141,-0.10768599433363016,0.6871256445582445,0.6689296570965723
ios_stranger,61,0.08217760128946962,0.528945946053203,-0.15803760625749394,-0.1725236177857044,0.2864967889134848,0.2814899771087742,0.678124532036687
planfulness_mf,61,0.081500190697579,0.532359445711044,-0.0368229075191818,0.00730302810597766,0.18642887382041093,0.48776666521998685,0.678124532036687
sham_switch_rate,61,-0.07951870443270057,0.542406200745943,-0.1873093131138015,-0.05133954452586619,-0.12236479850296024,0.6485486359693607,0.6791378292518351
sham_p_stay_win,61,0.0788437962242069,0.5458490964080169,0.1672190390085096,0.06918406859878931,0.10263058825257611,0.7007822334703228,0.6791378292518351
planfulness_cs,61,0.07335419891794051,0.5742386537362549,0.33557000907648393,-0.41764557903295774,0.23093315177291315,0.3914862821672036,0.7062475396526354
theta_median,56,0.07384586340939295,0.5885851708993723,-0.6332009637699989,0.07185051304881511,0.2737510056027358,0.3254068748380045,0.7156660600708278
ffmq_total_no_obs,61,0.06680945691943815,0.6089479038706799,0.11475031255107107,-0.18845952178312658,0.2079888380474592,0.4353205457243642,0.7295059026605588
