model,elpd_loo,se,p_loo,max_pareto_k,n_k_above_0_7,elpd_diff_dual_minus_single,elpd_diff_se,verdict
rw,-8240.888586997986,170.3451508454748,248.99733352661133,2.1846704796171608,87,115.45638465881348,32.068309693681066,The dual model predicts held-out runs better.
rw_dual,-8125.432202339172,172.2697431951348,302.8851947784424,1.9913319099850522,104,115.45638465881348,32.068309693681066,The dual model predicts held-out runs better.
