,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_alpha_pos,1.511,0.455,0.676,2.389,0.008,0.005,2986.0,4892.0,1.0
mu_alpha_neg,2.035,0.597,0.949,3.204,0.013,0.007,1929.0,3582.0,1.0
mu_beta,2.652,0.259,2.142,3.118,0.008,0.004,1026.0,2375.0,1.0
sigma_alpha_pos,2.458,0.38,1.781,3.18,0.007,0.004,3190.0,6082.0,1.0
sigma_alpha_neg,3.514,0.431,2.711,4.321,0.007,0.004,4370.0,6711.0,1.0
sigma_beta,1.537,0.229,1.129,1.977,0.007,0.003,979.0,3739.0,1.0
