,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_alpha,1.494,0.543,0.47,2.512,0.011,0.006,2291.0,4279.0,1.0
mu_beta,2.436,0.352,1.757,3.075,0.009,0.004,1383.0,3140.0,1.0
sigma_alpha,2.814,0.482,1.949,3.72,0.01,0.004,2090.0,5340.0,1.0
sigma_beta,1.925,0.336,1.264,2.519,0.009,0.003,1442.0,3385.0,1.0
