,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_alpha,1.898,0.508,0.913,2.848,0.015,0.007,1137.0,2048.0,1.0
mu_beta,2.024,0.318,1.404,2.601,0.014,0.005,533.0,1692.0,1.0
sigma_alpha,2.44,0.533,1.551,3.453,0.022,0.008,587.0,1902.0,1.0
sigma_beta,1.8,0.287,1.269,2.344,0.011,0.004,655.0,1186.0,1.0
