,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_alpha,2.141,0.543,1.098,3.168,0.01,0.005,3086.0,4731.0,1.0
mu_beta,2.108,0.395,1.331,2.807,0.011,0.006,1343.0,2867.0,1.0
sigma_alpha,2.523,0.506,1.614,3.462,0.011,0.005,2078.0,4948.0,1.0
sigma_beta,2.299,0.315,1.728,2.903,0.006,0.003,2582.0,4765.0,1.0
