,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_alpha,1.996,0.472,1.115,2.92,0.012,0.006,1441.0,2051.0,1.0
mu_beta,1.876,0.277,1.366,2.406,0.012,0.006,496.0,1401.0,1.01
sigma_alpha,2.562,0.462,1.735,3.423,0.017,0.005,691.0,1130.0,1.0
sigma_beta,1.648,0.235,1.219,2.079,0.008,0.003,899.0,2429.0,1.01
