,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_alpha_init,-0.882,0.706,-2.227,0.428,0.018,0.009,1463.0,3255.0,1.0
mu_eta,-5.095,0.435,-5.881,-4.265,0.019,0.009,492.0,897.0,1.0
mu_kappa,2.825,0.512,1.884,3.8,0.017,0.008,890.0,2100.0,1.01
mu_beta,1.901,0.276,1.36,2.393,0.015,0.008,350.0,809.0,1.02
sigma_alpha_init,3.241,0.534,2.262,4.237,0.009,0.005,3274.0,6119.0,1.0
sigma_eta,1.701,0.357,1.086,2.361,0.02,0.007,321.0,1358.0,1.01
sigma_kappa,2.302,0.536,1.332,3.309,0.022,0.008,611.0,1515.0,1.01
sigma_beta,1.734,0.234,1.316,2.186,0.009,0.004,643.0,625.0,1.02
