trial_num,run,run_type,stim_condition,trial_in_contingency,current_good,contingency_trials,flower1,flower2,slot1_position,slot2_position,choice,rt,correct,reward,wait_time,iti,timestamp,trial_start_time,subject_id,session,age,gender,date
0,1,baseline,baseline,0,1,25,17,1,right,left,1.0,970.1430797576904,True,True,2000.0,250.0,7.644570827484131,5.397791862487793,9903,1,31,M,2025-10-17_11-03-55
1,1,baseline,baseline,1,1,25,17,1,left,right,2.0,1021.7242240905762,False,False,2000.0,250.0,12.948730945587158,10.701950788497925,9903,1,31,M,2025-10-17_11-03-55
2,1,baseline,baseline,2,1,25,17,1,left,right,1.0,272.11594581604004,True,True,2000.0,250.0,17.505300045013428,15.258518934249878,9903,1,31,M,2025-10-17_11-03-55
3,1,baseline,baseline,3,1,25,17,1,right,left,1.0,356.3849925994873,True,False,2000.0,250.0,22.146015882492065,19.899235010147095,9903,1,31,M,2025-10-17_11-03-55
4,1,baseline,baseline,4,1,25,17,1,left,right,1.0,386.99889183044434,True,False,2000.0,250.0,26.81682777404785,24.57004690170288,9903,1,31,M,2025-10-17_11-03-55
5,1,baseline,baseline,5,1,25,17,1,left,right,1.0,760.0917816162109,True,False,2000.0,250.0,31.86835503578186,29.62157392501831,9903,1,31,M,2025-10-17_11-03-55
6,1,baseline,baseline,6,1,25,17,1,left,right,2.0,1236.088752746582,False,False,2000.0,250.0,37.387279748916626,35.140498876571655,9903,1,31,M,2025-10-17_11-03-55
7,1,baseline,baseline,7,1,25,17,1,left,right,2.0,657.3998928070068,False,True,2000.0,250.0,42.327847957611084,40.081066846847534,9903,1,31,M,2025-10-17_11-03-55
8,1,baseline,baseline,8,1,25,17,1,right,left,,,,,2000.0,250.0,48.11874294281006,45.87196207046509,9903,1,31,M,2025-10-17_11-03-55
9,1,baseline,baseline,9,1,25,17,1,left,right,1.0,355.8390140533447,True,True,2000.0,250.0,52.76045274734497,50.513671875,9903,1,31,M,2025-10-17_11-03-55
10,1,baseline,baseline,10,1,25,17,1,right,left,2.0,1054.0649890899658,False,False,2000.0,250.0,58.10011291503906,55.85333180427551,9903,1,31,M,2025-10-17_11-03-55
11,1,baseline,baseline,11,1,25,17,1,left,right,1.0,303.04932594299316,True,True,2000.0,250.0,62.685441970825195,60.438661098480225,9903,1,31,M,2025-10-17_11-03-55
12,1,baseline,baseline,12,1,25,17,1,right,left,,,,,2000.0,250.0,68.49360394477844,66.24682283401489,9903,1,31,M,2025-10-17_11-03-55
13,1,baseline,baseline,13,1,25,17,1,right,left,1.0,322.4639892578125,True,True,2000.0,250.0,73.10151386260986,70.85473299026489,9903,1,31,M,2025-10-17_11-03-55
14,1,baseline,baseline,14,1,25,17,1,right,left,2.0,388.65208625793457,False,False,2000.0,250.0,77.78279495239258,75.53601408004761,9903,1,31,M,2025-10-17_11-03-55
15,1,baseline,baseline,15,1,25,17,1,left,right,2.0,118.97683143615723,False,False,2000.0,250.0,82.18487906455994,79.93809676170349,9903,1,31,M,2025-10-17_11-03-55
16,1,baseline,baseline,16,1,25,17,1,left,right,1.0,305.804967880249,True,True,2000.0,250.0,86.77322196960449,84.52643990516663,9903,1,31,M,2025-10-17_11-03-55
17,1,baseline,baseline,17,1,25,17,1,right,left,2.0,272.01390266418457,False,False,2000.0,250.0,91.32908892631531,89.08230805397034,9903,1,31,M,2025-10-17_11-03-55
18,1,baseline,baseline,18,1,25,17,1,right,left,1.0,510.3318691253662,True,True,2000.0,250.0,96.12270092964172,93.87591981887817,9903,1,31,M,2025-10-17_11-03-55
19,1,baseline,baseline,19,1,25,17,1,left,right,1.0,307.28602409362793,True,True,2000.0,250.0,100.71629095077515,98.4695098400116,9903,1,31,M,2025-10-17_11-03-55
20,1,baseline,baseline,20,1,25,17,1,left,right,2.0,640.8319473266602,False,False,2000.0,250.0,105.63916993141174,103.39238905906677,9903,1,31,M,2025-10-17_11-03-55
21,1,baseline,baseline,21,1,25,17,1,right,left,2.0,304.3780326843262,False,False,2000.0,250.0,110.22550296783447,107.97872304916382,9903,1,31,M,2025-10-17_11-03-55
22,1,baseline,baseline,22,1,25,17,1,right,left,2.0,390.01989364624023,False,False,2000.0,250.0,114.90057492256165,112.65379405021667,9903,1,31,M,2025-10-17_11-03-55
23,1,baseline,baseline,23,1,25,17,1,left,right,2.0,556.9148063659668,False,False,2000.0,250.0,119.74112105369568,117.49433994293213,9903,1,31,M,2025-10-17_11-03-55
24,1,baseline,baseline,24,1,25,17,1,left,right,1.0,289.22581672668457,True,True,2000.0,250.0,124.3136157989502,122.06683492660522,9903,1,31,M,2025-10-17_11-03-55
25,1,baseline,baseline,0,2,29,17,1,right,left,1.0,405.97987174987793,False,True,2000.0,250.0,129.0050389766693,126.75825786590576,9903,1,31,M,2025-10-17_11-03-55
26,1,baseline,baseline,1,2,29,17,1,right,left,2.0,325.2837657928467,True,True,2000.0,250.0,133.6132779121399,131.36649703979492,9903,1,31,M,2025-10-17_11-03-55
27,1,baseline,baseline,2,2,29,17,1,left,right,2.0,489.28213119506836,True,False,2000.0,250.0,138.38459396362305,136.1378128528595,9903,1,31,M,2025-10-17_11-03-55
28,1,baseline,baseline,3,2,29,17,1,right,left,2.0,997.917890548706,True,True,2000.0,250.0,143.6655831336975,141.41880178451538,9903,1,31,M,2025-10-17_11-03-55
29,1,baseline,baseline,4,2,29,17,1,left,right,1.0,453.8609981536865,False,False,2000.0,250.0,148.40181612968445,146.15503406524658,9903,1,31,M,2025-10-17_11-03-55
30,1,baseline,baseline,5,2,29,17,1,right,left,2.0,424.21698570251465,True,True,2000.0,250.0,153.10885500907898,150.862074136734,9903,1,31,M,2025-10-17_11-03-55
31,1,baseline,baseline,6,2,29,17,1,right,left,1.0,1034.5818996429443,False,False,2000.0,250.0,158.42723083496094,156.18044900894165,9903,1,31,M,2025-10-17_11-03-55
32,1,baseline,baseline,7,2,29,17,1,right,left,2.0,409.5122814178467,True,True,2000.0,250.0,163.12063789367676,160.87385892868042,9903,1,31,M,2025-10-17_11-03-55
33,1,baseline,baseline,8,2,29,17,1,left,right,2.0,1286.984920501709,True,True,2000.0,250.0,168.688894033432,166.44211292266846,9903,1,31,M,2025-10-17_11-03-55
34,1,baseline,baseline,9,2,29,17,1,left,right,1.0,695.490837097168,False,False,2000.0,250.0,173.66993308067322,171.42315101623535,9903,1,31,M,2025-10-17_11-03-55
35,1,baseline,baseline,10,2,29,17,1,left,right,,,,,2000.0,250.0,179.45930004119873,177.21251893043518,9903,1,31,M,2025-10-17_11-03-55
36,1,baseline,baseline,11,2,29,17,1,right,left,2.0,1352.9717922210693,True,True,2000.0,250.0,185.0973699092865,182.85058999061584,9903,1,31,M,2025-10-17_11-03-55
37,1,baseline,baseline,12,2,29,17,1,right,left,1.0,1188.5020732879639,False,True,2000.0,250.0,190.5698947906494,188.32311391830444,9903,1,31,M,2025-10-17_11-03-55
38,1,baseline,baseline,13,2,29,17,1,right,left,2.0,1235.4240417480469,True,True,2000.0,250.0,196.08700704574585,193.8402259349823,9903,1,31,M,2025-10-17_11-03-55
39,1,baseline,baseline,14,2,29,17,1,right,left,2.0,1659.1308116912842,True,True,2000.0,250.0,202.0349669456482,199.78818607330322,9903,1,31,M,2025-10-17_11-03-55
40,1,baseline,baseline,15,2,29,17,1,left,right,2.0,1981.2397956848145,True,True,2000.0,250.0,208.30168914794922,206.0549077987671,9903,1,31,M,2025-10-17_11-03-55
