trial_num,run,run_type,stim_condition,trial_in_contingency,current_good,contingency_trials,flower1,flower2,slot1_position,slot2_position,choice,rt,correct,reward,wait_time,iti,timestamp,trial_start_time,stim_guess,subject_id,session,age,gender,date
0,6,stimulation,sham,0,1,27,48,14,left,right,2,1614.8691177368164,False,False,2000.0,250.0,2763.997902393341,5.877948999404907,no,11318,1,22,F,2026-03-12_11-29-26
1,6,stimulation,sham,1,1,27,48,14,right,left,2,645.1559066772461,False,False,2000.0,250.0,2768.9044494628906,10.784495830535889,no,11318,1,22,F,2026-03-12_11-29-26
2,6,stimulation,sham,2,1,27,48,14,left,right,2,839.7862911224365,False,False,2000.0,250.0,2774.00585269928,15.885899066925049,no,11318,1,22,F,2026-03-12_11-29-26
3,6,stimulation,sham,3,1,27,48,14,right,left,2,559.7832202911377,False,False,2000.0,250.0,2778.827716112137,20.707762718200684,no,11318,1,22,F,2026-03-12_11-29-26
4,6,stimulation,sham,4,1,27,48,14,right,left,1,531.4967632293701,True,True,2000.0,250.0,2783.6201798915863,25.500226736068726,no,11318,1,22,F,2026-03-12_11-29-26
5,6,stimulation,sham,5,1,27,48,14,left,right,1,461.44771575927734,True,True,2000.0,250.0,2788.3432896137238,30.22333598136902,no,11318,1,22,F,2026-03-12_11-29-26
6,6,stimulation,sham,6,1,27,48,14,right,left,1,877.9408931732178,True,True,2000.0,250.0,2793.483068227768,35.36311483383179,no,11318,1,22,F,2026-03-12_11-29-26
7,6,stimulation,sham,7,1,27,48,14,right,left,2,361.82498931884766,False,False,2000.0,250.0,2798.1059782505035,39.986024618148804,no,11318,1,22,F,2026-03-12_11-29-26
8,6,stimulation,sham,8,1,27,48,14,right,left,1,1205.3072452545166,True,True,2000.0,250.0,2803.573321580887,45.45336842536926,no,11318,1,22,F,2026-03-12_11-29-26
9,6,stimulation,sham,9,1,27,48,14,left,right,2,327.70490646362305,False,False,2000.0,250.0,2808.1624751091003,50.042521953582764,no,11318,1,22,F,2026-03-12_11-29-26
10,6,stimulation,sham,10,1,27,48,14,right,left,2,332.0491313934326,False,False,2000.0,250.0,2812.7561881542206,54.636234760284424,no,11318,1,22,F,2026-03-12_11-29-26
11,6,stimulation,sham,11,1,27,48,14,left,right,2,558.7694644927979,False,False,2000.0,250.0,2817.576450586319,59.45649814605713,no,11318,1,22,F,2026-03-12_11-29-26
12,6,stimulation,sham,12,1,27,48,14,right,left,1,572.6914405822754,True,True,2000.0,250.0,2822.410269021988,64.29031610488892,no,11318,1,22,F,2026-03-12_11-29-26
13,6,stimulation,sham,13,1,27,48,14,right,left,2,427.5243282318115,False,False,2000.0,250.0,2827.0995757579803,68.97962260246277,no,11318,1,22,F,2026-03-12_11-29-26
