subject_id,counterbalance,earclip,n_runs,protocol_ok,mismatches,mean_pct_rejected,itf_F4,itf_P4,itf_P3,best_itf,best_ch,iaf_F4,notes,status
10886,B,False,8.0,True,,24.86408612634482,,,,,,,,
10998,B,False,7.0,False,[6],19.77503016514041,,,,,,,Missing Run 1; Run 6 was sham (experimenter error),
11773,B,False,8.0,False,"[6, 7]",5.585603597723404,,,,,,,Runs 6-7 were sham (experimenter error),
10656,A,False,8.0,True,,14.273823444133017,,,,,,9.883643267667422,,
10951,A,False,8.0,True,,28.36083619451998,7.854035227473679,5.382139748474917,6.334436275979975,6.334436275979975,P3,11.157307580536775,Electrode artifact (loose connection suspected),
10418,B,False,8.0,True,,28.248973843407335,,,,,,10.030888754243797,,
10636,B,True,8.0,True,,5.724117726620807,,,,,,,,
11318,B,True,8.0,True,,30.045956464636518,,,,,,,,
10369,B,True,8.0,True,,29.342225111776663,,,,,,,,
10606,A,True,8.0,True,,29.67279354179992,,,,,,,,
11628,A,True,8.0,True,,29.732430027713743,,,,,,10.250008927358461,,
11286,A,True,8.0,True,,28.371834603571102,,,,,,,,
10866,B,True,8.0,True,,28.771977025008084,,,,,,,,
11329,B,True,8.0,True,,14.843667858438979,,,,,,,,
10608,A,True,8.0,True,,29.423758055904045,,,,,,,,
10559,,,,,,,,,,,,,,ERROR
10589,A,True,8.0,True,,29.306284321482224,4.7451585888939265,5.454777578797429,5.4589291497649075,5.4589291497649075,P3,9.795398612200739,,
11563,A,True,8.0,True,,27.867382517861458,,,,,,,,
10649,A,True,8.0,True,,27.95687699311209,,,,,,,,
11030,,,,,,,,,,,,,,ERROR
10809,B,True,8.0,True,,22.817543696594235,,,,,,,,
10541,B,True,8.0,True,,29.407334733361154,,,,,,,,
10641,B,True,8.0,False,"[2, 3, 6, 7]",28.183432742021687,,,,,,,,
10862,B,True,8.0,True,,26.826951958748218,,,,,,,,
10661,B,True,8.0,True,,28.251011744064442,,,,,,9.834233268931692,,
10638,B,True,8.0,True,,31.649903730026924,,,,,,9.853148659392655,,
