subject_id,iaf,n_iaf_runs,itf_klimesch,theta_peak_fcz,n_theta_runs,max_channels,runs_used,in_dissertation,itf_distance
10369,10.0,1,5.0,,0,3,1,True,1.0
10418,10.5,1,5.5,,0,3,1,True,0.5
10541,10.0,1,5.0,,0,3,1,True,1.0
10559,12.0,1,7.0,,0,3,1,True,1.0
10589,10.0,1,5.0,,0,3,1,True,1.0
10590,10.0,1,5.0,,0,3,1,True,1.0
10606,10.0,1,5.0,,0,3,1,True,1.0
10608,,0,,,0,3,1,True,
10617,10.0,1,5.0,,0,3,1,True,1.0
10636,13.0,1,8.0,,0,3,1,True,2.0
10638,10.0,1,5.0,,0,3,1,True,1.0
10641,10.0,1,5.0,,0,3,1,True,1.0
10649,10.0,1,5.0,,0,3,1,True,1.0
10656,10.0,1,5.0,,0,3,1,True,1.0
10661,10.0,1,5.0,,0,3,1,True,1.0
10685,11.0,1,6.0,4.5,1,7,1,False,0.0
10716,10.0,1,5.0,,0,3,1,True,1.0
10741,9.5,1,4.5,4.5,1,7,1,False,1.5
10804,10.0,1,5.0,,0,3,1,True,1.0
10809,10.0,1,5.0,,0,3,1,True,1.0
10810,10.0,1,5.0,,0,3,1,True,1.0
10862,10.0,1,5.0,,0,3,1,True,1.0
10866,7.5,1,4.0,,0,3,1,True,2.0
10886,10.0,1,5.0,,0,3,1,True,1.0
10896,,0,,,0,7,1,False,
10898,13.0,1,8.0,,0,3,1,True,2.0
10950,10.0,1,5.0,,0,3,1,True,1.0
10951,9.5,1,4.5,,0,3,1,True,1.5
10961,10.0,1,5.0,,0,3,1,True,1.0
11016,10.0,1,5.0,,0,3,1,True,1.0
11031,10.0,1,5.0,,0,3,1,True,1.0
11036,10.0,1,5.0,,0,3,1,True,1.0
11075,10.5,1,5.5,6.5,1,7,1,False,0.5
11116,8.75,1,4.0,,0,7,1,False,2.0
11168,9.0,1,4.0,,0,7,1,False,2.0
11286,10.0,1,5.0,,0,3,1,True,1.0
11318,10.0,1,5.0,,0,3,1,True,1.0
11326,10.25,1,5.25,,0,7,1,False,0.75
11329,9.75,1,4.75,,0,3,1,True,1.25
11330,11.0,1,6.0,7.5,1,7,1,False,0.0
11439,10.5,1,5.5,,0,7,1,False,0.5
11440,12.0,1,7.0,7.5,1,7,1,False,1.0
11461,10.5,1,5.5,,0,7,1,False,0.5
11472,11.5,1,6.5,,0,7,1,False,0.5
11492,,0,,4.5,1,7,1,False,
11526,10.0,1,5.0,,0,3,1,True,1.0
11539,7.75,1,4.0,4.5,1,7,1,False,2.0
11563,11.5,1,6.5,,0,3,1,True,0.5
11570,10.5,1,5.5,,0,7,1,False,0.5
11606,10.25,1,5.25,,0,7,1,False,0.75
11622,9.0,1,4.0,,0,7,1,False,2.0
11628,9.5,1,4.5,,0,3,1,True,1.5
11631,9.5,1,4.5,,0,3,1,True,1.5
11681,8.25,1,4.0,,0,7,1,False,2.0
11773,10.0,1,5.0,,0,3,1,True,1.0
11854,8.0,1,4.0,,0,7,1,False,2.0
11885,9.0,1,4.0,,0,7,1,False,2.0
11900,9.0,1,4.0,,0,7,1,False,2.0
11920,,0,,,0,7,1,False,
