subject_id,iaf,n_iaf_runs,itf_klimesch,theta_peak_fcz,n_theta_runs,max_channels,runs_used,in_dissertation,itf_distance
10369,9.75,1,4.75,,0,3,1,True,1.25
10418,9.75,1,4.75,,0,3,1,True,1.25
10541,9.75,1,4.75,,0,3,1,True,1.25
10559,12.0,1,7.0,,0,3,1,True,1.0
10589,,0,,,0,3,1,True,
10590,9.75,1,4.75,,0,3,1,True,1.25
10606,9.75,1,4.75,,0,3,1,True,1.25
10608,9.75,1,4.75,,0,3,1,True,1.25
10617,9.75,1,4.75,,0,3,1,True,1.25
10636,13.25,1,8.0,,0,3,1,True,2.0
10638,9.75,1,4.75,,0,3,1,True,1.25
10641,9.75,1,4.75,,0,3,1,True,1.25
10649,9.75,1,4.75,,0,3,1,True,1.25
10656,9.75,1,4.75,,0,3,1,True,1.25
10661,10.125,1,5.125,,0,3,1,True,0.875
10685,10.75,1,5.75,4.25,1,7,1,False,0.25
10716,9.75,1,4.75,,0,3,1,True,1.25
10741,9.25,1,4.25,4.625,1,7,1,False,1.75
10804,9.75,1,4.75,,0,3,1,True,1.25
10809,9.75,1,4.75,,0,3,1,True,1.25
10810,9.75,1,4.75,,0,3,1,True,1.25
10862,9.75,1,4.75,,0,3,1,True,1.25
10866,7.5625,1,4.0,,0,3,1,True,2.0
10886,9.75,1,4.75,,0,3,1,True,1.25
10896,13.5,1,8.0,4.125,1,7,1,False,2.0
10898,9.75,1,4.75,,0,3,1,True,1.25
10950,9.75,1,4.75,,0,3,1,True,1.25
10951,9.75,1,4.75,,0,3,1,True,1.25
10961,9.3125,1,4.3125,,0,3,1,True,1.6875
11016,9.75,1,4.75,,0,3,1,True,1.25
11031,9.75,1,4.75,,0,3,1,True,1.25
11036,9.75,1,4.75,,0,3,1,True,1.25
11075,10.4375,1,5.4375,7.0,1,7,1,False,0.5625
11116,8.6875,1,4.0,4.125,1,7,1,False,2.0
11168,9.0,1,4.0,,0,7,1,False,2.0
11286,9.75,1,4.75,,0,3,1,True,1.25
11318,9.75,1,4.75,,0,3,1,True,1.25
11326,7.875,1,4.0,4.25,1,7,1,False,2.0
11329,9.75,1,4.75,,0,3,1,True,1.25
11330,11.125,1,6.125,7.125,1,7,1,False,0.125
11439,10.1875,1,5.1875,,0,7,1,False,0.8125
11440,12.3125,1,7.3125,7.75,1,7,1,False,1.3125
11461,10.25,1,5.25,,0,7,1,False,0.75
11472,11.75,1,6.75,,0,7,1,False,0.75
11492,,0,,4.5,1,7,1,False,
11526,9.75,1,4.75,,0,3,1,True,1.25
11539,8.0,1,4.0,4.5,1,7,1,False,2.0
11563,10.625,1,5.625,,0,3,1,True,0.375
11570,10.9375,1,5.9375,7.75,1,7,1,False,0.0625
11606,8.375,1,4.0,7.375,1,7,1,False,2.0
11622,7.625,1,4.0,7.75,1,7,1,False,2.0
11628,9.75,1,4.75,,0,3,1,True,1.25
11631,9.75,1,4.75,,0,3,1,True,1.25
11681,8.125,1,4.0,,0,7,1,False,2.0
11773,9.75,1,4.75,,0,3,1,True,1.25
11854,7.875,1,4.0,7.875,1,7,1,False,2.0
11885,11.25,1,6.25,4.875,1,7,1,False,0.25
11900,8.25,1,4.0,,0,7,1,False,2.0
11920,13.3125,1,8.0,,0,7,1,False,2.0
