trial_num,run,run_type,stim_condition,trial_in_contingency,current_good,contingency_trials,flower1,flower2,slot1_position,slot2_position,choice,rt,correct,reward,wait_time,iti,timestamp,trial_start_time,stim_guess,subject_id,session,age,gender,date
0,4,post_stimulation,baseline,0,1,28,6,37,right,left,1,1230.8893203735352,True,True,2000.0,250.0,2099.6522510051727,5.493605136871338,yes,10951,1,23,M,2026-03-08_10-44-22
1,4,post_stimulation,baseline,1,1,28,6,37,left,right,2,428.94458770751953,False,False,2000.0,250.0,2104.341685295105,10.183039426803589,yes,10951,1,23,M,2026-03-08_10-44-22
2,4,post_stimulation,baseline,2,1,28,6,37,right,left,2,315.39463996887207,False,False,2000.0,250.0,2108.9176297187805,14.758984565734863,yes,10951,1,23,M,2026-03-08_10-44-22
3,4,post_stimulation,baseline,3,1,28,6,37,right,left,1,360.25238037109375,True,True,2000.0,250.0,2113.5391540527344,19.380508422851562,yes,10951,1,23,M,2026-03-08_10-44-22
4,4,post_stimulation,baseline,4,1,28,6,37,right,left,1,414.3357276916504,True,True,2000.0,250.0,2118.2144713401794,24.05582571029663,yes,10951,1,23,M,2026-03-08_10-44-22
5,4,post_stimulation,baseline,5,1,28,6,37,right,left,1,509.1845989227295,True,True,2000.0,250.0,2122.9845640659332,28.825918436050415,yes,10951,1,23,M,2026-03-08_10-44-22
6,4,post_stimulation,baseline,6,1,28,6,37,left,right,2,262.7406120300293,False,False,2000.0,250.0,2127.508558034897,33.349912881851196,yes,10951,1,23,M,2026-03-08_10-44-22
7,4,post_stimulation,baseline,7,1,28,6,37,left,right,1,295.5195903778076,True,True,2000.0,250.0,2132.064889192581,37.90624380111694,yes,10951,1,23,M,2026-03-08_10-44-22
8,4,post_stimulation,baseline,8,1,28,6,37,left,right,1,344.9234962463379,True,True,2000.0,250.0,2136.67053937912,42.51189398765564,yes,10951,1,23,M,2026-03-08_10-44-22
9,4,post_stimulation,baseline,9,1,28,6,37,left,right,1,310.7178211212158,True,True,2000.0,250.0,2141.2430086135864,47.08436322212219,yes,10951,1,23,M,2026-03-08_10-44-22
10,4,post_stimulation,baseline,10,1,28,6,37,left,right,1,281.1734676361084,True,True,2000.0,250.0,2145.786430835724,51.627784967422485,yes,10951,1,23,M,2026-03-08_10-44-22
11,4,post_stimulation,baseline,11,1,28,6,37,left,right,1,328.69458198547363,True,False,2000.0,250.0,2150.376228570938,56.2175829410553,yes,10951,1,23,M,2026-03-08_10-44-22
