trial_num,run,run_type,stim_condition,trial_in_contingency,current_good,contingency_trials,flower1,flower2,slot1_position,slot2_position,choice,rt,correct,reward,wait_time,iti,timestamp,trial_start_time,stim_guess,subject_id,session,age,gender,date
0,8,post_stimulation,baseline,0,2,25,30,46,right,left,1,636.3890171051025,False,False,2000.0,250.0,3535.3888182640076,4.9548890590667725,yes,10886,1,57,m,2026-02-09_15-23-31
1,8,post_stimulation,baseline,1,2,25,30,46,right,left,2,407.7649116516113,True,False,2000.0,250.0,3540.0943479537964,9.66041612625122,yes,10886,1,57,m,2026-02-09_15-23-31
2,8,post_stimulation,baseline,2,2,25,30,46,left,right,1,508.6941719055176,False,True,2000.0,250.0,3544.893399000168,14.459465980529785,yes,10886,1,57,m,2026-02-09_15-23-31
3,8,post_stimulation,baseline,3,2,25,30,46,right,left,1,442.62027740478516,False,False,2000.0,250.0,3549.627559185028,19.193626165390015,yes,10886,1,57,m,2026-02-09_15-23-31
4,8,post_stimulation,baseline,4,2,25,30,46,left,right,2,459.20801162719727,True,True,2000.0,250.0,3554.3815751075745,23.94764280319214,yes,10886,1,57,m,2026-02-09_15-23-31
5,8,post_stimulation,baseline,5,2,25,30,46,left,right,2,424.73602294921875,True,True,2000.0,250.0,3559.1014211177826,28.667495012283325,yes,10886,1,57,m,2026-02-09_15-23-31
6,8,post_stimulation,baseline,6,2,25,30,46,left,right,2,371.72603607177734,True,True,2000.0,250.0,3563.767258167267,33.3333261013031,yes,10886,1,57,m,2026-02-09_15-23-31
7,8,post_stimulation,baseline,7,2,25,30,46,left,right,2,339.7378921508789,True,False,2000.0,250.0,3568.3972582817078,37.96332502365112,yes,10886,1,57,m,2026-02-09_15-23-31
8,8,post_stimulation,baseline,8,2,25,30,46,right,left,1,507.3578357696533,False,False,2000.0,250.0,3573.195239305496,42.761306047439575,yes,10886,1,57,m,2026-02-09_15-23-31
9,8,post_stimulation,baseline,9,2,25,30,46,right,left,1,407.6669216156006,False,False,2000.0,250.0,3577.8935012817383,47.45956897735596,yes,10886,1,57,m,2026-02-09_15-23-31
10,8,post_stimulation,baseline,10,2,25,30,46,right,left,2,410.86483001708984,True,True,2000.0,250.0,3582.596260070801,52.162328004837036,yes,10886,1,57,m,2026-02-09_15-23-31
11,8,post_stimulation,baseline,11,2,25,30,46,left,right,2,559.1301918029785,True,True,2000.0,250.0,3587.4479999542236,57.01406693458557,yes,10886,1,57,m,2026-02-09_15-23-31
12,8,post_stimulation,baseline,12,2,25,30,46,right,left,2,425.2650737762451,True,False,2000.0,250.0,3592.169676065445,61.735743045806885,yes,10886,1,57,m,2026-02-09_15-23-31
13,8,post_stimulation,baseline,13,2,25,30,46,right,left,1,373.0931282043457,False,False,2000.0,250.0,3596.8373160362244,66.4033830165863,yes,10886,1,57,m,2026-02-09_15-23-31
14,8,post_stimulation,baseline,14,2,25,30,46,right,left,2,320.17993927001953,True,True,2000.0,250.0,3601.449278116226,71.01535105705261,yes,10886,1,57,m,2026-02-09_15-23-31
15,8,post_stimulation,baseline,15,2,25,30,46,right,left,2,375.11277198791504,True,True,2000.0,250.0,3606.118273973465,75.68434405326843,yes,10886,1,57,m,2026-02-09_15-23-31
16,8,post_stimulation,baseline,16,2,25,30,46,right,left,2,407.9868793487549,True,False,2000.0,250.0,3610.8225281238556,80.38859486579895,yes,10886,1,57,m,2026-02-09_15-23-31
17,8,post_stimulation,baseline,17,2,25,30,46,right,left,1,375.3230571746826,False,True,2000.0,250.0,3615.491182088852,85.05724906921387,yes,10886,1,57,m,2026-02-09_15-23-31
18,8,post_stimulation,baseline,18,2,25,30,46,left,right,1,440.8268928527832,False,True,2000.0,250.0,3620.2199442386627,89.7860119342804,yes,10886,1,57,m,2026-02-09_15-23-31
19,8,post_stimulation,baseline,19,2,25,30,46,right,left,1,438.45200538635254,False,False,2000.0,250.0,3624.949969291687,94.51603698730469,yes,10886,1,57,m,2026-02-09_15-23-31
