subject_id,hemi,parcel,n_vert,surf_area,gray_vol,thick_avg,thick_std,mean_curv,gaus_curv,fold_ind,curv_ind
10369,lh,bankssts,1857,1245.0,2924.0,2.495,0.454,0.103,0.017,14.0,1.5
10369,lh,caudalanteriorcingulate,1156,777.0,2323.0,2.573,0.802,0.132,0.019,17.0,1.1
10369,lh,caudalmiddlefrontal,4964,3029.0,8716.0,2.692,0.528,0.104,0.02,39.0,4.4
10369,lh,cuneus,2924,1989.0,3527.0,1.661,0.498,0.143,0.03,40.0,3.8
10369,lh,entorhinal,702,453.0,1677.0,2.83,0.852,0.1,0.019,5.0,0.6
10369,lh,fusiform,5718,3891.0,12608.0,2.823,0.647,0.117,0.023,58.0,5.3
10369,lh,inferiorparietal,6430,4351.0,10704.0,2.303,0.549,0.118,0.021,69.0,5.7
10369,lh,inferiortemporal,6246,4362.0,14588.0,2.778,0.7,0.119,0.023,74.0,5.9
10369,lh,isthmuscingulate,1289,876.0,2317.0,2.325,0.923,0.125,0.026,19.0,1.4
10369,lh,lateraloccipital,9519,6327.0,13332.0,1.974,0.61,0.141,0.032,129.0,13.4
10369,lh,lateralorbitofrontal,3857,2580.0,7451.0,2.624,0.699,0.133,0.03,47.0,4.9
10369,lh,lingual,4684,3240.0,5711.0,1.721,0.564,0.128,0.029,50.0,5.8
10369,lh,medialorbitofrontal,3035,2103.0,6382.0,2.527,0.883,0.128,0.033,47.0,3.9
10369,lh,middletemporal,5579,3899.0,13152.0,2.705,0.662,0.115,0.022,63.0,5.1
10369,lh,parahippocampal,1017,624.0,1658.0,2.396,0.6,0.067,0.008,6.0,0.3
10369,lh,paracentral,2060,1361.0,3601.0,2.371,0.595,0.115,0.022,24.0,1.9
10369,lh,parsopercularis,2193,1534.0,4435.0,2.65,0.49,0.122,0.023,23.0,2.1
10369,lh,parsorbitalis,1000,672.0,2178.0,2.66,0.434,0.118,0.024,12.0,1.0
10369,lh,parstriangularis,1645,1134.0,3035.0,2.422,0.539,0.113,0.02,17.0,1.5
10369,lh,pericalcarine,2279,1543.0,1857.0,1.373,0.324,0.137,0.029,27.0,2.8
10369,lh,postcentral,6809,4539.0,12224.0,2.416,0.523,0.117,0.02,76.0,6.0
10369,lh,posteriorcingulate,1769,1235.0,3381.0,2.477,0.82,0.139,0.027,28.0,2.2
10369,lh,precentral,10853,6791.0,16734.0,2.3,0.58,0.106,0.02,93.0,9.3
10369,lh,precuneus,4030,2711.0,6310.0,2.195,0.581,0.121,0.024,45.0,4.0
10369,lh,rostralanteriorcingulate,1164,840.0,2910.0,3.035,0.771,0.124,0.026,17.0,1.4
10369,lh,rostralmiddlefrontal,9514,6600.0,19808.0,2.631,0.661,0.134,0.033,119.0,12.9
10369,lh,superiorfrontal,14199,8984.0,28424.0,2.788,0.664,0.112,0.025,137.0,14.4
10369,lh,superiorparietal,6790,4328.0,9061.0,2.036,0.497,0.118,0.023,70.0,6.5
10369,lh,superiortemporal,6361,4330.0,13362.0,2.786,0.642,0.119,0.025,67.0,6.6
10369,lh,supramarginal,4486,3051.0,8407.0,2.489,0.528,0.121,0.022,55.0,4.1
10369,lh,frontalpole,421,351.0,1299.0,2.64,0.687,0.174,0.044,9.0,0.9
10369,lh,temporalpole,755,550.0,2616.0,3.168,0.95,0.135,0.047,12.0,1.4
10369,lh,transversetemporal,683,438.0,949.0,2.238,0.492,0.123,0.027,7.0,0.8
10369,lh,insula,3404,2288.0,7090.0,3.106,0.797,0.117,0.03,34.0,3.8
10369,rh,bankssts,1704,1134.0,2564.0,2.437,0.437,0.099,0.017,11.0,1.2
10369,rh,caudalanteriorcingulate,962,614.0,1480.0,2.233,0.661,0.12,0.013,13.0,0.5
10369,rh,caudalmiddlefrontal,4089,2570.0,7385.0,2.587,0.607,0.105,0.021,32.0,3.6
10369,rh,cuneus,1958,1308.0,2392.0,1.617,0.525,0.145,0.03,28.0,2.6
10369,rh,entorhinal,794,565.0,2167.0,2.804,0.874,0.132,0.033,8.0,1.0
10369,rh,fusiform,5568,3730.0,11239.0,2.689,0.67,0.12,0.024,61.0,5.6
10369,rh,inferiorparietal,8675,5683.0,15155.0,2.426,0.576,0.112,0.02,89.0,7.3
10369,rh,inferiortemporal,6081,4196.0,13167.0,2.757,0.647,0.123,0.027,73.0,7.1
10369,rh,isthmuscingulate,1577,1078.0,2845.0,2.304,0.738,0.115,0.024,20.0,1.5
10369,rh,lateraloccipital,8106,5372.0,10858.0,1.965,0.587,0.135,0.031,95.0,10.6
10369,rh,lateralorbitofrontal,3706,2621.0,7000.0,2.581,0.571,0.141,0.036,45.0,5.9
10369,rh,lingual,5264,3618.0,7506.0,1.914,0.691,0.128,0.028,59.0,6.6
10369,rh,medialorbitofrontal,2764,1959.0,5925.0,2.546,0.825,0.121,0.03,36.0,3.5
10369,rh,middletemporal,5920,4038.0,13806.0,2.736,0.664,0.112,0.022,61.0,5.3
10369,rh,parahippocampal,1140,706.0,2203.0,2.605,0.824,0.084,0.013,7.0,0.6
10369,rh,paracentral,3481,2303.0,5760.0,2.324,0.46,0.122,0.024,42.0,3.4
10369,rh,parsopercularis,2774,1891.0,5916.0,2.764,0.539,0.108,0.02,28.0,2.3
10369,rh,parsorbitalis,1176,841.0,2557.0,2.504,0.573,0.13,0.028,17.0,1.2
10369,rh,parstriangularis,2416,1649.0,4251.0,2.451,0.542,0.118,0.025,24.0,2.4
10369,rh,pericalcarine,2201,1510.0,1900.0,1.443,0.316,0.119,0.022,20.0,2.2
10369,rh,postcentral,6750,4355.0,12213.0,2.46,0.507,0.115,0.021,76.0,6.3
10369,rh,posteriorcingulate,1997,1405.0,3532.0,2.349,0.769,0.124,0.025,25.0,2.1
10369,rh,precentral,7535,4803.0,9771.0,1.991,0.605,0.107,0.021,67.0,6.6
10369,rh,precuneus,5098,3389.0,7364.0,2.088,0.535,0.114,0.021,52.0,4.4
10369,rh,rostralanteriorcingulate,748,502.0,1694.0,2.937,0.696,0.108,0.022,9.0,0.6
10369,rh,rostralmiddlefrontal,11551,8013.0,23274.0,2.594,0.577,0.128,0.028,135.0,13.6
10369,rh,superiorfrontal,14549,9385.0,28918.0,2.709,0.636,0.118,0.027,142.0,15.9
10369,rh,superiorparietal,7060,4324.0,9587.0,2.079,0.579,0.109,0.022,65.0,6.2
10369,rh,superiortemporal,5850,3916.0,12249.0,2.681,0.661,0.109,0.022,55.0,5.1
10369,rh,supramarginal,4923,3325.0,9141.0,2.509,0.569,0.111,0.019,49.0,4.1
10369,rh,frontalpole,611,451.0,2220.0,2.909,0.984,0.175,0.066,15.0,2.0
10369,rh,temporalpole,804,634.0,2820.0,3.323,0.911,0.181,0.061,17.0,2.2
10369,rh,transversetemporal,503,311.0,672.0,2.134,0.495,0.133,0.025,6.0,0.5
10369,rh,insula,3626,2530.0,7552.0,2.98,0.798,0.131,0.033,42.0,4.8
10418,lh,bankssts,1450,944.0,1823.0,2.112,0.487,0.09,0.015,6.0,1.0
10418,lh,caudalanteriorcingulate,657,397.0,1052.0,2.723,0.558,0.119,0.015,9.0,0.3
10418,lh,caudalmiddlefrontal,3349,2044.0,4337.0,2.082,0.458,0.104,0.017,27.0,2.4
10418,lh,cuneus,2254,1432.0,2209.0,1.537,0.37,0.128,0.023,26.0,2.4
10418,lh,entorhinal,716,451.0,1938.0,2.951,0.678,0.096,0.022,7.0,0.5
10418,lh,fusiform,4366,3100.0,8356.0,2.382,0.622,0.127,0.024,50.0,4.6
10418,lh,inferiorparietal,5045,3292.0,7918.0,2.23,0.56,0.115,0.021,49.0,4.5
10418,lh,inferiortemporal,4468,3190.0,10127.0,2.724,0.676,0.131,0.026,55.0,4.7
10418,lh,isthmuscingulate,1336,851.0,1917.0,1.986,0.751,0.111,0.025,18.0,1.4
10418,lh,lateraloccipital,7275,4728.0,9005.0,1.8,0.511,0.127,0.026,77.0,8.0
10418,lh,lateralorbitofrontal,4100,2716.0,7031.0,2.491,0.65,0.125,0.022,46.0,4.1
10418,lh,lingual,3529,2293.0,4498.0,1.851,0.56,0.12,0.023,35.0,3.5
10418,lh,medialorbitofrontal,2250,1525.0,3606.0,2.211,0.615,0.116,0.02,27.0,2.0
10418,lh,middletemporal,4219,2816.0,8071.0,2.534,0.74,0.119,0.024,44.0,4.2
10418,lh,parahippocampal,1238,736.0,1951.0,2.351,0.803,0.057,0.01,6.0,0.5
10418,lh,paracentral,1981,1184.0,2618.0,2.128,0.55,0.081,0.012,9.0,1.0
10418,lh,parsopercularis,2227,1475.0,3660.0,2.324,0.487,0.112,0.023,21.0,2.2
10418,lh,parsorbitalis,950,648.0,2044.0,2.771,0.777,0.132,0.034,13.0,1.3
10418,lh,parstriangularis,1899,1264.0,2709.0,2.002,0.537,0.121,0.022,18.0,1.9
10418,lh,pericalcarine,1471,986.0,1284.0,1.518,0.333,0.125,0.028,14.0,1.7
10418,lh,postcentral,6133,3767.0,7838.0,1.912,0.569,0.098,0.017,46.0,4.6
10418,lh,posteriorcingulate,1475,956.0,2428.0,2.319,0.676,0.112,0.017,14.0,1.2
10418,lh,precentral,7682,4633.0,10347.0,2.168,0.562,0.098,0.019,51.0,6.2
10418,lh,precuneus,5883,3864.0,8058.0,2.06,0.512,0.114,0.021,52.0,5.4
10418,lh,rostralanteriorcingulate,972,649.0,2167.0,2.838,0.919,0.143,0.036,17.0,1.7
10418,lh,rostralmiddlefrontal,7958,5262.0,11305.0,2.074,0.522,0.124,0.027,84.0,9.2
10418,lh,superiorfrontal,9780,6243.0,16118.0,2.377,0.59,0.11,0.022,82.0,9.1
10418,lh,superiorparietal,7790,4733.0,9219.0,1.881,0.484,0.103,0.018,63.0,5.9
10418,lh,superiortemporal,5990,3860.0,10852.0,2.568,0.682,0.107,0.019,51.0,5.2
10418,lh,supramarginal,6274,4169.0,9794.0,2.256,0.532,0.113,0.021,60.0,5.8
10418,lh,frontalpole,346,268.0,653.0,2.095,0.482,0.182,0.043,8.0,0.7
10418,lh,temporalpole,611,452.0,2466.0,3.635,0.593,0.132,0.03,7.0,0.8
10418,lh,transversetemporal,792,443.0,1000.0,2.108,0.368,0.103,0.016,6.0,0.5
10418,lh,insula,3383,2236.0,6556.0,2.802,0.891,0.116,0.034,36.0,5.4
10418,rh,bankssts,1649,1057.0,2044.0,2.08,0.439,0.087,0.013,9.0,0.7
10418,rh,caudalanteriorcingulate,953,604.0,1781.0,2.495,0.792,0.101,0.013,9.0,0.6
10418,rh,caudalmiddlefrontal,2776,1690.0,4421.0,2.344,0.539,0.096,0.017,20.0,1.9
10418,rh,cuneus,2208,1336.0,2439.0,1.69,0.468,0.111,0.022,21.0,2.2
10418,rh,entorhinal,634,401.0,1596.0,2.889,0.884,0.099,0.013,5.0,0.3
10418,rh,fusiform,4151,2869.0,7540.0,2.438,0.549,0.129,0.025,46.0,4.4
10418,rh,inferiorparietal,8321,5118.0,11852.0,2.195,0.523,0.109,0.021,74.0,7.2
10418,rh,inferiortemporal,4434,2981.0,8765.0,2.578,0.755,0.127,0.027,61.0,5.1
10418,rh,isthmuscingulate,1328,856.0,2274.0,2.334,0.812,0.106,0.022,12.0,1.0
10418,rh,lateraloccipital,7456,4854.0,10041.0,1.903,0.562,0.131,0.026,81.0,8.7
10418,rh,lateralorbitofrontal,4435,3041.0,7349.0,2.358,0.651,0.129,0.027,56.0,5.1
10418,rh,lingual,4048,2694.0,5436.0,1.872,0.631,0.136,0.027,47.0,4.9
10418,rh,medialorbitofrontal,2494,1830.0,4832.0,2.364,0.669,0.123,0.024,36.0,2.7
10418,rh,middletemporal,4576,3041.0,8696.0,2.473,0.687,0.11,0.021,46.0,4.1
10418,rh,parahippocampal,1154,713.0,2087.0,2.574,0.959,0.085,0.015,9.0,0.7
10418,rh,paracentral,2260,1306.0,2816.0,2.124,0.571,0.081,0.013,10.0,1.3
10418,rh,parsopercularis,1633,1096.0,2544.0,2.223,0.452,0.12,0.024,15.0,1.6
10418,rh,parsorbitalis,1043,698.0,2149.0,2.595,0.61,0.132,0.027,12.0,1.2
10418,rh,parstriangularis,2018,1323.0,3025.0,2.197,0.51,0.117,0.022,19.0,1.9
10418,rh,pericalcarine,1821,1196.0,1645.0,1.516,0.359,0.118,0.025,16.0,1.8
10418,rh,postcentral,6226,3752.0,8064.0,1.98,0.556,0.097,0.018,101.0,4.7
10418,rh,posteriorcingulate,1446,954.0,2583.0,2.395,0.763,0.116,0.02,16.0,1.3
10418,rh,precentral,7969,4840.0,11563.0,2.303,0.503,0.098,0.018,54.0,6.2
10418,rh,precuneus,5983,3860.0,8732.0,2.143,0.59,0.112,0.022,55.0,5.8
10418,rh,rostralanteriorcingulate,645,474.0,1743.0,2.893,0.778,0.136,0.028,10.0,0.8
10418,rh,rostralmiddlefrontal,7616,5194.0,11480.0,2.038,0.519,0.122,0.023,80.0,7.6
10418,rh,superiorfrontal,7941,5118.0,13968.0,2.518,0.602,0.115,0.023,68.0,7.5
10418,rh,superiorparietal,7785,4794.0,9206.0,1.883,0.478,0.105,0.019,58.0,6.5
10418,rh,superiortemporal,5850,3651.0,9832.0,2.473,0.668,0.105,0.019,47.0,4.9
10418,rh,supramarginal,4883,3108.0,7738.0,2.356,0.49,0.108,0.019,42.0,4.1
10418,rh,frontalpole,498,382.0,996.0,2.28,0.44,0.189,0.052,11.0,1.3
10418,rh,temporalpole,568,396.0,2088.0,3.559,0.706,0.12,0.026,6.0,0.6
10418,rh,transversetemporal,634,342.0,948.0,2.45,0.399,0.121,0.026,8.0,0.6
10418,rh,insula,3067,2030.0,6132.0,3.013,0.955,0.108,0.026,26.0,2.9
10541,lh,bankssts,2072,1363.0,3485.0,2.32,0.574,0.106,0.019,15.0,1.7
10541,lh,caudalanteriorcingulate,1495,964.0,2528.0,2.316,0.784,0.121,0.015,20.0,1.0
10541,lh,caudalmiddlefrontal,5130,3240.0,8175.0,2.299,0.594,0.1,0.018,38.0,4.1
10541,lh,cuneus,2608,1734.0,3321.0,1.743,0.568,0.132,0.029,32.0,3.4
10541,lh,entorhinal,764,510.0,1999.0,2.926,0.77,0.112,0.026,7.0,0.7
10541,lh,fusiform,5263,3626.0,11553.0,2.704,0.668,0.124,0.025,63.0,5.3
10541,lh,inferiorparietal,9120,6008.0,14174.0,2.233,0.533,0.116,0.024,87.0,9.1
10541,lh,inferiortemporal,5588,3793.0,12882.0,2.86,0.697,0.114,0.023,54.0,5.3
10541,lh,isthmuscingulate,1779,1222.0,2822.0,1.97,0.834,0.114,0.025,23.0,1.7
10541,lh,lateraloccipital,9833,6485.0,12990.0,1.873,0.532,0.132,0.03,112.0,12.9
10541,lh,lateralorbitofrontal,4400,2981.0,7588.0,2.455,0.573,0.124,0.025,53.0,4.7
10541,lh,lingual,5017,3325.0,6593.0,1.773,0.629,0.125,0.027,54.0,5.9
10541,lh,medialorbitofrontal,3556,2449.0,5808.0,2.229,0.643,0.122,0.024,45.0,3.4
10541,lh,middletemporal,5601,3703.0,11990.0,2.718,0.712,0.108,0.021,53.0,4.7
10541,lh,parahippocampal,991,613.0,1663.0,2.348,0.636,0.089,0.015,7.0,0.5
10541,lh,paracentral,2398,1549.0,3573.0,2.081,0.724,0.109,0.024,18.0,2.5
10541,lh,parsopercularis,2478,1652.0,4501.0,2.454,0.455,0.107,0.021,28.0,2.0
10541,lh,parsorbitalis,1109,746.0,2272.0,2.461,0.572,0.126,0.024,12.0,1.1
10541,lh,parstriangularis,2087,1353.0,3085.0,2.096,0.482,0.116,0.022,19.0,2.1
10541,lh,pericalcarine,2559,1784.0,2560.0,1.588,0.544,0.133,0.031,27.0,3.3
10541,lh,postcentral,7186,4476.0,8884.0,1.832,0.624,0.104,0.021,57.0,6.5
10541,lh,posteriorcingulate,1879,1303.0,3132.0,2.114,0.732,0.125,0.023,24.0,1.9
