variable,table,domain,description,source,producer,role,status,hypotheses,expected_missing,missing_note,notes,n,n_total,n_missing,dtype,n_unique,min,median,max,detected_missing,consumers,n_consumers,auc_age,p_age,auc_enrollment,p_enrollment,missing_ids
brain_charm,efield,morphometry,Brain volume from charm segmentation (mm3),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_intracranial.py,secondary,current,,,,,66,66,0,numeric,66,856852.0,1120941.0,1414308.4942036867,complete,,0,,,,,
charm_dlpfc_n_vert,efield,morphometry,DLPFC vertices in charm surface,SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_charm_thickness.py,qc,current,,,,,66,66,0,numeric,66,22817.0,27892.5,31904.0,complete,,0,,,,,
charm_dlpfc_thickness,efield,morphometry,DLPFC cortical thickness from charm (mm),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_charm_thickness.py,secondary,current,,,,Cross-check on FreeSurfer dlpfc_thickness.,66,66,0,numeric,66,2.6735973358154297,3.0001951456069946,3.295621871948242,complete,efield_results.py,1,,,,,
charm_mean_thickness,efield,morphometry,Whole-hemisphere cortical thickness from charm surfaces (mm),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_charm_thickness.py,secondary,current,,,,,66,66,0,numeric,66,2.4175572395324707,2.8278870582580566,3.0976831912994385,complete,efield_results.py,1,,,,,
charm_thickness_sd,efield,morphometry,SD of charm cortical thickness (mm),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_charm_thickness.py,qc,current,,,,,66,66,0,numeric,66,0.8165123462677002,0.8792348802089691,0.9471001625061036,complete,,0,,,,,
csf_charm,efield,morphometry,Whole-head CSF volume from charm segmentation (mm3),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_intracranial.py,secondary,current,,,,CSF: strongest age relationship (r=+.50).,66,66,0,numeric,66,195838.7003712654,297260.0,447547.9596360326,complete,efield_results.py fig_atrophy_vs_geometry.py qc_paper_variables.py samples.py,4,,,,,
dist_central_dlpfc_min,efield,geometry,"F3-to-central surface distance within DLPFC, nearest vertex (mm)",SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_scalp_cortex_distance.py,secondary,current,,,,,66,66,0,numeric,66,11.888316333850886,15.722528338882551,20.955215519206178,complete,efield_results.py,1,,,,,
dist_central_dlpfc_p1,efield,geometry,"F3-to-central surface distance within DLPFC, 1st percentile (mm)",SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_scalp_cortex_distance.py,secondary,current,,,,,66,66,0,numeric,66,14.083314928155875,17.939457205369266,22.829650298396952,complete,efield_results.py,1,,,,,
dist_central_min,efield,geometry,"F3-to-central surface distance, nearest vertex (mm)",SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_scalp_cortex_distance.py,secondary,current,,,,,66,66,0,numeric,66,11.888316333850886,15.722528338882551,20.955215519206178,complete,,0,,,,,
dist_central_p1,efield,geometry,"F3-to-central surface distance, 1st percentile (mm)",SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_scalp_cortex_distance.py,secondary,current,,,,,66,66,0,numeric,66,19.576985223749094,23.17098314013066,26.865053456075408,complete,efield_results.py,1,,,,,
