,,checked,Scoring Instructions,Summary,REDCap variable names(s),Steps left for experimenter
,TICS,,,,.,
,,,,,,
Island Screener,AUDIT,MC,,A score of 8+ on the AUDIT generally indicates harmful or hazardous drinking.,audit_adult_total,
,DUDIT,MC,,"Items 1-9- [0, 1, 2, 3, 4] Items 10-11 [0,2,4]",dudit_adult_total,
,USI,AD,https://tuprd.sharepoint.com/sites/TU-CLA-Psych-Smith-Lab/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FTU%2DCLA%2DPsych%2DSmith%2DLab%2FShared%20Documents%2FGeneral%2FSmithLab%2FIRB%2FIRB%5F28455%5FRF1%5FSocial%20Reward%20Processing%20Across%20the%20Lifespan%2FCURRENTLY%20APPROVED%2FALL%2DMEASURES%2FUSIdep%2FNZiDep%28USIDep%29%2Epdf&parent=%2Fsites%2FTU%2DCLA%2DPsych%2DSmith%2DLab%2FShared%20Documents%2FGeneral%2FSmithLab%2FIRB%2FIRB%5F28455%5FRF1%5FSocial%20Reward%20Processing%20Across%20the%20Lifespan%2FCURRENTLY%20APPROVED%2FALL%2DMEASURES%2FUSIdep,"yes = 1, no/missing = 0   1= no deprivation characteristics, 2= one deprivation characteristic, 3= two deprivation characteristics, 4= three or four deprivation characteristics , 5= five or more deprivation characteristics",usi_ordinal,
,FEVS,,https://www.olderadultnestegg.com/wp-content/uploads/2021/09/FEVS-Examining-the-Validity-of-FEVS-Aug-2021-PL-LH.pdf,"Sum, with higher scores being related to a higher risk of financial exploitation. Wording does not indicate any reverse scoring. Lower than the mean was classified as low risk, between the mean and one standard deviation was classified as moderate risk, and above one standard deviation was classified as high risk.",fevs_total,
,PROMIS 29,N/A,https://labs.dgsom.ucla.edu/hays/files/view/docs/programs-utilities/prom29/PROM-29+2guide.pdf,"PROMIS requires upload to their database, and returns T-scored results for each axis (rather than total score). Dave said we can get away with just summing the categories for our analysies. ","[promis_depression_sum],[promis_anxiety_sum],[promis_physical_sum],[promis_",
,PMAS,AD,https://atcmeetingabstracts.com/abstract/validation-of-the-promis-medication-adherence-scale-among-kidney-transplant-recipients-on-tacrolimus/,"Each item has 5 response options, and 8 of the 9 items are summed to create a score ranging from 8-40 (higher scores mean better adherence). (excluding MedAd5; “I took this medicine as recommended”) ",pmas_sum,
,PAM,AD,,"For positively keyed items (those other than Items 5, 8, and 12), recode strongly disagree to 0, disagree to 1, neutral to 2, agree to 3, and strongly agree to 4. For the negatively keyed items (Items 5, 8, and 12), recode strongly disagree to 4, disagree to 3, neutral to 2, agree to 1, and strongly agree to 0. To create the total score, sum the recoded scores associated with all the items. To create the subscales, sum recoded Items 1, 3, and 13 to create Duration; Items 6, 15, and 17 to create Frequency of Interaction; Items 7, 9, and 18 to create Knowledge of Goals; Items 2, 11, and 16 to create Physical Intimacy; Items 5, 8, and 12 to create Self-Disclosure; and Items 4, 10, and 14 to create Social Network Familiarity.",[pam_total_sum],
,MSPSS,AD,https://elcentro.sonhs.miami.edu/research/measures-library/mspss/index.html,"Significant Other Subscale: Sum across items 1, 2, 5, & 10, then divide by 4.
Family Subscale: Sum across items 3, 4, 8, & 11, then divide by 4.
Friends Subscale: Sum across items 6, 7, 9, & 12, then divide by 4.
Total Scale: Sum across all 12 items, then divide by 12.",[mspss_adult_1],"If you want to divide your respondents into groups on the basis of MSPSS scores there are at least two ways you can approach this process:
1. You can divide your respondents into 3 equal groups on the basis of their scores (trichotomize) and designate the lowest group as low perceived support, the middle group as medium support, and the high group as high support. This approach ensures that you have about the same number of respondents in each group. But, if the distribution of scores is skewed, your low support group, for example, may include respondents who report moderate or even relatively high levels of support.
2. Alternatively, you can use the scale response descriptors as a guide. In this approach any mean scale score ranging from 1 to 2.9 could be considered low support; a score of 3 to 5 could be considered moderate support; a score from 5.1 to 7 could be considered high support. This approach would seem to have more validity, but if you have very few respondents in any of the groups, it could be problematic."
,SES,,,"Questions from Dave, each is individual (unless he comes up with total score)",.,
,Fraud,,,Sum scored to give a value on report. Radio buttons for $0 losses of fraud are accounted for at the end by subtracting the number of questions coded that way,.,
,Dospert,,Scoring instructions for DOSPERT scale (2006),"Sums. Ethical: 6,9,10,16,29,30. Financial (Investment/Gambling): 12,4,18,3,14,8. Health/Safety: 5,15,17,20,23,26. Recreational: 2,11,13,19,24,25. Social: 1,7,21,22,27,28",.,
,Honesty Question,N/A,,"Single question - hand convert any '1-100%' into 1 to 5 on 5 point scale (1-20, 21-40, 41-60, 61-80, 81-100)",.,
,FAQ,,TU-CLA-Psych-Smith-Lab - FAQ.pdf - All Documents (sharepoint.com),"FAQ. As noted in the introduction, the FAQ is a 10-item, 
collateral-report scale, with 4-point ordinal responses within 
each item (Pfeffer et al., 1982). Response categories include 
the following: 0, Normal; 1, Has difficulty but does by self; 
2, Requires assistance; 3, Dependent. Item content is summarized in Table 5. Total score can range from 0 to 30, with 
higher scores indicating more functional difficulties",.,
