subject_id,run,condition,block,n_trials
10369,2,sham,0,66
10369,3,sham,0,74
10369,6,active,1,75
10369,7,active,1,76
10418,2,sham,0,71
10418,3,sham,0,73
10418,7,active,1,69
10541,2,sham,0,68
10541,3,sham,0,66
10541,6,active,1,70
10541,7,active,1,72
10559,2,active,0,68
10559,3,active,0,75
10559,6,sham,1,74
10559,7,sham,1,72
10589,2,active,0,73
10589,3,active,0,74
10589,6,sham,1,76
10589,7,sham,1,76
10590,2,sham,0,72
10590,3,sham,0,73
10590,6,active,1,72
10590,7,active,1,74
10606,2,active,0,76
10606,3,active,0,74
10606,6,sham,1,76
10608,2,active,0,68
10608,3,active,0,73
10608,6,sham,1,72
10608,7,sham,1,76
10617,2,sham,0,71
10617,3,sham,0,71
10617,6,active,1,74
10617,7,active,1,74
10636,2,sham,0,74
10636,3,sham,0,76
10636,6,active,1,77
10636,7,active,1,74
10638,2,sham,0,73
10638,3,sham,0,73
10638,6,active,1,72
10638,7,active,1,69
10641,2,active,0,70
10641,3,active,0,73
10641,6,sham,1,75
10641,7,sham,1,76
10649,2,active,0,73
10649,3,active,0,73
10649,6,sham,1,72
10649,7,sham,1,73
10656,2,active,0,77
10656,3,active,0,74
10656,6,sham,1,76
10656,7,sham,1,77
10661,2,sham,0,73
10661,3,sham,0,76
10661,6,active,1,76
10661,7,active,1,76
10685,2,active,0,69
10685,3,active,0,69
10685,6,sham,1,73
10685,7,sham,1,71
10741,2,sham,0,72
10741,3,sham,0,73
10741,6,active,1,71
10741,7,active,1,72
10804,2,sham,0,72
10804,3,sham,0,72
10804,6,active,1,75
10809,2,sham,0,66
10809,3,sham,0,68
10809,6,active,1,67
10809,7,active,1,69
10810,2,active,0,74
10810,3,active,0,72
10810,6,sham,1,73
10810,7,sham,1,72
10862,2,sham,0,73
10862,3,sham,0,72
10862,6,active,1,72
10862,7,active,1,74
10866,2,sham,0,70
10866,3,sham,0,73
10866,6,active,1,73
10866,7,active,1,72
10886,2,sham,0,75
10886,3,sham,0,75
10886,6,active,1,76
10886,7,active,1,76
10896,2,active,0,68
10896,3,active,0,71
10896,6,sham,1,77
10896,7,sham,1,73
10950,2,active,0,75
10950,3,active,0,77
10950,6,sham,1,77
10950,7,sham,1,78
10951,2,active,0,77
10951,3,active,0,77
10951,6,sham,1,79
10951,7,sham,1,79
10998,2,sham,0,66
10998,3,sham,0,74
10998,7,active,1,76
11016,2,sham,0,70
11016,3,sham,0,74
11016,6,active,1,75
11016,7,active,1,76
11030,2,active,0,72
11030,3,active,0,74
11030,6,sham,1,76
11030,7,sham,1,76
11031,2,active,0,73
11031,3,active,0,73
11031,6,sham,1,68
11031,7,sham,1,71
11036,2,sham,0,77
11036,3,sham,0,76
11036,6,active,1,78
11036,7,active,1,78
11075,2,sham,0,68
11075,3,sham,0,72
11075,6,active,1,71
11075,7,active,1,70
11116,2,sham,0,59
11116,3,sham,0,71
11116,6,active,1,70
11116,7,active,1,71
11168,2,active,0,74
11168,3,active,0,76
11168,6,sham,1,76
11168,7,sham,1,77
11286,2,active,0,74
11286,6,sham,1,73
11286,7,sham,1,72
11316,2,sham,0,70
11316,3,sham,0,72
11316,6,active,1,74
11316,7,active,1,76
11318,2,sham,0,75
11318,3,sham,0,73
11318,6,active,1,75
11318,7,active,1,75
11326,2,active,0,72
11326,3,active,0,73
11326,6,sham,1,75
11326,7,sham,1,75
11329,2,sham,0,74
11329,3,sham,0,72
11329,6,active,1,74
11330,2,sham,0,76
11330,3,sham,0,76
11330,6,active,1,76
11330,7,active,1,76
11461,2,active,0,70
11461,3,active,0,70
11461,6,sham,1,70
11461,7,sham,1,67
11526,2,sham,0,78
11526,3,sham,0,78
11526,6,active,1,78
11526,7,active,1,77
11539,2,sham,0,71
11539,3,sham,0,72
11539,6,active,1,74
11539,7,active,1,72
11542,2,active,0,66
11542,3,active,0,67
11542,6,sham,1,73
11542,7,sham,1,73
11563,2,active,0,75
11563,3,active,0,76
11563,6,sham,1,77
11563,7,sham,1,76
11570,2,active,0,73
11570,3,active,0,73
11570,6,sham,1,76
11570,7,sham,1,77
11622,2,active,0,71
11622,3,active,0,71
11622,6,sham,1,70
11622,7,sham,1,72
11628,2,active,0,75
11628,3,active,0,75
11628,6,sham,1,75
11628,7,sham,1,76
11631,2,active,0,71
11631,3,active,0,73
11631,6,sham,1,72
11631,7,sham,1,73
11681,2,sham,0,70
11681,3,sham,0,71
11681,6,active,1,72
11681,7,active,1,70
11854,2,sham,0,69
11854,3,sham,0,71
11854,6,active,1,70
11854,7,active,1,68
11861,2,active,0,65
11861,3,active,0,64
11861,6,sham,1,63
11861,7,sham,1,63
11885,2,active,0,72
11885,3,active,0,75
11885,6,sham,1,75
11885,7,sham,1,74
11900,2,active,0,72
11900,3,active,0,71
11900,6,sham,1,73
11900,7,sham,1,73
11920,2,active,0,69
11920,3,active,0,72
11920,6,sham,1,64
11920,7,sham,1,64
