,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,p_direction
mu_alpha_pos,1.245,0.435,0.442,2.049,0.009,0.006,2104.0,3464.0,1.0,0.9995
delta_alpha_pos,0.084,0.311,-0.501,0.679,0.006,0.003,3100.0,4953.0,1.0,0.61225
sigma_alpha_pos,2.469,0.423,1.709,3.253,0.013,0.005,1056.0,2331.0,1.0,1.0
tau_alpha_pos,0.934,0.365,0.217,1.628,0.011,0.006,1058.0,1053.0,1.0,1.0
mu_alpha_neg,1.666,0.534,0.685,2.665,0.016,0.008,1092.0,1801.0,1.0,0.999375
delta_alpha_neg,0.042,0.334,-0.581,0.664,0.007,0.003,2034.0,4573.0,1.0,0.54675
sigma_alpha_neg,3.389,0.425,2.627,4.208,0.009,0.005,2269.0,4166.0,1.0,1.0
tau_alpha_neg,1.566,0.28,1.017,2.07,0.007,0.003,1417.0,2105.0,1.0,1.0
asymmetry,-0.061,0.106,-0.265,0.139,0.003,0.002,1197.0,2021.0,1.0,0.727625
mu_beta,3.009,0.289,2.464,3.556,0.009,0.005,1091.0,2127.0,1.0,1.0
delta_beta,-0.107,0.251,-0.571,0.372,0.005,0.003,2971.0,4344.0,1.0,0.6645
eta_beta,0.013,0.259,-0.506,0.46,0.005,0.003,2653.0,5208.0,1.0,0.518
sigma_beta,1.903,0.246,1.453,2.374,0.006,0.003,1690.0,3129.0,1.0,1.0
tau_beta,1.626,0.216,1.235,2.043,0.004,0.002,3051.0,4188.0,1.0,1.0
