subject_id,sham_alpha,sham_alpha_sd,active_alpha,active_alpha_sd,sham_beta,sham_beta_sd,active_beta,active_beta_sd,delta_alpha,delta_beta
10369,0.13154073,0.25572377,0.1429055,0.2663963,2.1733954,1.4474798,1.7321842,1.3889855,0.011364773,-0.44121122
10418,0.9617769,0.044063862,0.9065067,0.18919279,3.1345904,0.53855884,0.4670061,0.42836982,-0.055270195,-2.6675844
10541,0.95903546,0.043822754,0.9077456,0.09350509,3.0690243,0.5171062,3.3634315,0.6260771,-0.051289856,0.29440713
10559,0.4955199,0.14353132,0.5700996,0.21534146,2.773471,0.58454865,1.2432761,0.383108,0.074579686,-1.530195
10589,0.6502806,0.13062981,0.58073103,0.09946953,2.6096637,0.45501834,4.175878,0.65311664,-0.06954956,1.5662143
10590,0.90924233,0.111561425,0.9530658,0.058798596,1.666613,0.33251813,2.3285558,0.38515183,0.04382348,0.66194284
10606,0.1492596,0.29035693,0.15714785,0.29269966,1.8763304,1.550371,1.7298725,1.4862233,0.0078882575,-0.14645791
10608,0.9840743,0.0213619,0.9847676,0.022171875,4.2667494,0.75697917,2.8350008,0.4882532,0.0006933212,-1.4317486
10617,0.8875943,0.06933873,0.55575085,0.117081106,2.5156808,0.4637754,5.333263,0.8907056,-0.33184344,2.8175821
10636,0.69531417,0.08491809,0.5665569,0.08781022,6.112197,0.96086323,6.501688,0.93632936,-0.1287573,0.38949108
10638,0.037076578,0.023638958,0.11884564,0.044170942,4.2672276,1.4992173,4.789943,1.1016477,0.081769064,0.52271557
10641,0.9580436,0.056447517,0.9633824,0.053234063,1.113389,0.2592777,1.6174252,0.29718414,0.0053388476,0.5040362
10649,0.9755196,0.03064031,0.97475976,0.033676963,3.774852,0.6480265,3.0484893,0.49448818,-0.00075984,-0.7263627
10656,0.97820425,0.02871925,0.98371214,0.021479221,3.8757741,0.6603798,3.5031672,0.5483745,0.0055078864,-0.372607
10661,0.9431398,0.06414938,0.93975186,0.07193651,2.0364118,0.3336859,3.0892305,0.47152823,-0.003387928,1.0528188
10685,0.9457253,0.062395453,0.95557064,0.052362848,2.7272449,0.43334743,3.757601,0.6021914,0.009845316,1.0303562
10741,0.75346154,0.11059116,0.7606102,0.12273863,4.1026077,0.70020926,2.664687,0.48023978,0.007148683,-1.4379208
10804,0.5457495,0.2507186,0.5233533,0.26927224,1.078098,0.47867686,1.2707423,0.6131272,-0.022396207,0.19264424
10809,0.857286,0.104217656,0.7327951,0.13075669,1.9372255,0.35676116,3.1461375,0.55670714,-0.12449086,1.208912
10810,0.9501433,0.056439966,0.9461936,0.06601025,3.5464692,0.563847,1.9837677,0.33727518,-0.003949702,-1.5627015
10862,0.963944,0.040371154,0.96344113,0.04369144,3.9038212,0.6743966,3.87969,0.65366006,-0.0005028844,-0.024131298
10866,0.104759075,0.13081586,0.51523453,0.18971296,3.2074006,1.2862923,1.7025352,0.4449175,0.41047546,-1.5048654
10886,0.6062323,0.19739902,0.9141363,0.06634826,2.655747,0.5718481,2.9012535,0.45933536,0.307904,0.24550653
10896,0.13292317,0.2580873,0.17570096,0.30602095,2.20606,1.5565722,2.0284111,1.4998385,0.04277779,-0.17764878
10950,0.85160244,0.10028633,0.9045969,0.093692906,3.6307495,0.6217474,1.6455979,0.3203928,0.05299449,-1.9851515
10951,0.23237994,0.33428857,0.27590126,0.332267,1.361666,1.382397,1.2961465,1.2476776,0.043521315,-0.06551945
10998,0.36910093,0.22121137,0.598447,0.20045365,2.0641425,0.86428463,2.745272,0.7891194,0.2293461,0.68112946
11016,0.96974266,0.03883276,0.9672012,0.044757467,2.1490147,0.3450612,2.7846463,0.46900722,-0.0025414824,0.63563156
11030,0.97638166,0.030887315,0.981476,0.025862245,4.373658,0.74451196,2.8310518,0.47106352,0.0050943494,-1.5426064
11031,0.9500614,0.06543153,0.96276593,0.046337556,1.4134787,0.27847463,2.7510288,0.44934937,0.012704551,1.33755
