,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,p_direction
mu_alpha,1.36,0.467,0.477,2.225,0.015,0.007,951.0,2616.0,1.01,0.998
delta_alpha,0.227,0.297,-0.35,0.775,0.006,0.003,2655.0,5132.0,1.0,0.781
eta_alpha,0.105,0.3,-0.455,0.67,0.007,0.003,2113.0,4233.0,1.0,0.639
sigma_alpha,3.009,0.421,2.223,3.773,0.01,0.005,1587.0,2159.0,1.0,1.0
tau_alpha,1.4,0.257,0.932,1.893,0.006,0.004,2162.0,2665.0,1.0,1.0
mu_beta,2.621,0.275,2.092,3.127,0.01,0.005,781.0,1583.0,1.01,1.0
delta_beta,-0.175,0.24,-0.653,0.258,0.004,0.003,2926.0,4425.0,1.0,0.7665
eta_beta,0.063,0.243,-0.402,0.514,0.004,0.003,3346.0,4664.0,1.0,0.609375
sigma_beta,1.61,0.25,1.181,2.084,0.009,0.004,858.0,2081.0,1.01,1.0
tau_beta,1.561,0.204,1.187,1.948,0.004,0.002,3008.0,4687.0,1.0,1.0
