subject_id,sham_beta,sham_beta_sd,active_beta,active_beta_sd,sham_alpha_pos,sham_alpha_pos_sd,active_alpha_pos,active_alpha_pos_sd,sham_alpha_neg,sham_alpha_neg_sd,active_alpha_neg,active_alpha_neg_sd,delta_beta
10369,2.4300761,1.4482547,2.360366,1.490714,0.1686131,0.3130855,0.17148691,0.317959,0.5423966,0.37465587,0.6211982,0.3653557,-0.069710016
10418,3.5188313,0.76939243,0.50318414,0.44089472,0.80981886,0.1580026,0.7909168,0.20728278,0.97246605,0.040880665,0.9023673,0.22008996,-3.0156472
10541,3.4765005,0.7391244,3.881948,0.8653938,0.7600354,0.17772245,0.72227705,0.19078168,0.9740844,0.03550108,0.9510466,0.0658794,0.40544748
10559,4.7095265,1.1444522,2.3207214,1.0605171,0.8865508,0.13218056,0.8915771,0.15108183,0.20303431,0.082254454,0.19552784,0.195125,-2.3888052
10589,4.2996736,0.9147741,4.557635,1.017542,0.83929837,0.10618913,0.63526756,0.20191796,0.2374058,0.0989064,0.5969085,0.11366396,0.25796127
10590,2.100723,0.545379,2.5202663,0.43927753,0.9546281,0.057301372,0.9578699,0.056399904,0.5195739,0.26241332,0.82072514,0.1340961,0.41954327
10606,1.0512944,1.0363656,1.0904158,1.052527,0.41341427,0.36901727,0.42503485,0.37471768,0.40867382,0.43062165,0.41093528,0.4348782,0.03912139
10608,4.5962915,0.8926069,3.2096293,0.7624518,0.8603592,0.14071418,0.85130215,0.1537026,0.98953253,0.016529638,0.98812276,0.020421742,-1.3866622
10617,2.4926698,0.47989082,5.1304193,0.79510266,0.89815277,0.10222169,0.88837636,0.11993238,0.8829895,0.08335601,0.4983049,0.112832524,2.6377494
10636,6.081291,0.97603387,6.54686,0.9612142,0.91136646,0.09742783,0.9181793,0.09399909,0.62073576,0.10994688,0.49166274,0.09622017,0.46556902
10638,3.9348168,1.4600627,4.947714,1.1762555,0.10277532,0.08011782,0.11255553,0.056176763,0.04216542,0.09808672,0.1638772,0.113227956,1.012897
10641,1.1444132,0.28962526,1.6205966,0.30701345,0.9216397,0.11178368,0.9438491,0.07394532,0.9457228,0.08180694,0.9254717,0.1129307,0.4761834
10649,3.98868,0.7539158,3.1018455,0.5133619,0.8940011,0.1321933,0.9453562,0.058995754,0.9804441,0.02763211,0.96270776,0.05692493,-0.8868344
10656,5.0474453,1.2311841,4.730091,1.1959925,0.6444004,0.19911438,0.6722275,0.18117073,0.9878599,0.019795733,0.98949033,0.016842961,-0.3173542
10661,2.3412597,0.6133991,3.3084097,0.5526512,0.7192267,0.2206502,0.78194124,0.16801533,0.96779823,0.049545273,0.9581617,0.06580713,0.96715
10685,3.3332973,0.76859087,4.4396043,0.92781204,0.64296263,0.21408749,0.7050196,0.19009838,0.9694263,0.043183576,0.9670621,0.047193274,1.106307
10741,4.058026,0.70818853,2.7409909,0.52664316,0.7666449,0.13607463,0.78631276,0.16370307,0.7992441,0.13450395,0.7426678,0.1632729,-1.317035
10804,2.4751992,1.6313679,2.626984,1.5976659,0.24156001,0.2657209,0.2463599,0.25195587,0.8295641,0.24036677,0.8389166,0.23919076,0.15178466
10809,1.9399314,0.37216863,3.1238422,0.5421413,0.85429454,0.14650966,0.8430041,0.15034033,0.8457464,0.13632174,0.70215625,0.17365511,1.1839108
10810,3.8511717,0.67851174,2.6249976,0.83531755,0.7754383,0.16311538,0.65886605,0.23270395,0.9628314,0.052681822,0.969864,0.04718436,-1.2261741
10862,5.1985083,1.2876053,5.026807,1.2458575,0.66459006,0.18689223,0.6451933,0.2050711,0.9819467,0.02639655,0.98016095,0.030001879,-0.17170143
10866,3.869688,1.4655284,3.179921,1.4476295,0.1807067,0.15247053,0.2705533,0.27923894,0.15381946,0.28093436,0.4677009,0.22563867,-0.6897671
10886,2.6540163,0.74269885,3.1849842,0.69149846,0.68823826,0.23966971,0.7571322,0.20447151,0.71980727,0.21677276,0.935389,0.06331156,0.53096795
10896,1.9045715,1.1595371,1.635061,0.91636777,0.15193464,0.27036628,0.16957438,0.2866711,0.6518661,0.37890047,0.6693529,0.36916247,-0.2695105
10950,3.6663182,0.6111636,1.6954204,0.36779007,0.9130266,0.10396561,0.91686296,0.10845915,0.80551034,0.11957973,0.8124432,0.19492415,-1.9708978
10951,0.73418665,0.83925337,0.9142338,0.8289807,0.5342631,0.38913345,0.54869884,0.3792629,0.42037857,0.38705465,0.43111554,0.37232703,0.18004715
10998,3.4034822,1.3243191,4.471898,1.3231795,0.18813492,0.123400934,0.30290014,0.13561662,0.8828808,0.16637872,0.9119709,0.11610997,1.0684159
11016,2.1467042,0.360185,2.8702726,0.5048091,0.9417894,0.07170991,0.91961217,0.10985782,0.96329796,0.059510883,0.9671566,0.048826266,0.72356844
