priors,prior_sigma,prior_tau,parameter,mean,hdi_lo,hdi_hi,r_hat,divergences
default,1.0,0.5,mu_alpha,1.371,0.481,2.198,1.02,0
default,1.0,0.5,delta_alpha,0.229,-0.37,0.77,1.0,0
default,1.0,0.5,eta_alpha,0.107,-0.46,0.67,1.0,0
default,1.0,0.5,sigma_alpha,3.012,2.22,3.763,1.0,0
default,1.0,0.5,tau_alpha,1.389,0.946,1.912,1.0,0
default,1.0,0.5,mu_beta,2.625,2.094,3.127,1.01,0
default,1.0,0.5,delta_beta,-0.174,-0.654,0.255,1.0,0
default,1.0,0.5,sigma_beta,1.604,1.181,2.061,1.01,0
default,1.0,0.5,tau_beta,1.566,1.19,1.961,1.0,0
default,1.0,0.5,alpha_contrast_natural,0.026547294110059738,-0.021822122856974602,0.06952331960201263,,0
wide,3.0,2.0,mu_alpha,1.554,0.384,2.585,1.02,0
wide,3.0,2.0,delta_alpha,0.401,-0.479,1.231,1.0,0
wide,3.0,2.0,eta_alpha,-0.004,-0.631,0.688,1.0,0
wide,3.0,2.0,sigma_alpha,3.922,2.677,5.237,1.01,0
wide,3.0,2.0,tau_alpha,2.166,1.231,3.019,1.0,0
wide,3.0,2.0,mu_beta,2.732,2.23,3.213,1.0,0
wide,3.0,2.0,delta_beta,-0.294,-0.937,0.265,1.01,0
wide,3.0,2.0,sigma_beta,1.603,1.169,2.078,1.01,0
wide,3.0,2.0,tau_beta,1.944,1.339,2.519,1.0,0
wide,3.0,2.0,alpha_contrast_natural,0.038650479167699814,-0.015089521184563637,0.09048213809728622,,0
very_wide,5.0,5.0,mu_alpha,1.608,0.504,2.728,1.02,0
very_wide,5.0,5.0,delta_alpha,0.481,-0.441,1.492,1.0,0
very_wide,5.0,5.0,eta_alpha,-0.03,-0.705,0.656,1.0,0
very_wide,5.0,5.0,sigma_alpha,4.111,2.818,5.537,1.0,0
very_wide,5.0,5.0,tau_alpha,2.305,1.346,3.336,1.01,0
very_wide,5.0,5.0,mu_beta,2.75,2.228,3.225,1.01,0
very_wide,5.0,5.0,delta_beta,-0.339,-1.014,0.255,1.0,0
very_wide,5.0,5.0,sigma_beta,1.604,1.164,2.089,1.01,0
very_wide,5.0,5.0,tau_beta,1.991,1.406,2.635,1.0,0
very_wide,5.0,5.0,alpha_contrast_natural,0.04212671518325806,-0.01021867711097002,0.10183867812156677,,0
