subject_id,theta_p95,theta_p75,age,n_clean_runs
10589,419.8,-30.3,37,1
10541,415.3,-29.5,72,2
11773,344.9,-7.7,56,2
10649,341.1,-21.0,66,2
11318,287.9,8.2,22,2
10862,275.4,22.5,62,2
11329,268.9,12.0,25,2
10951,263.8,20.0,23,1
10809,254.6,10.1,71,2
10369,243.2,-15.5,35,1
10638,228.8,-4.9,74,1
11628,226.3,32.4,56,2
11286,222.8,22.7,24,2
10661,220.1,17.2,53,2
10866,219.6,28.9,74,2
10641,215.6,-1.9,47,2
11563,211.7,26.1,56,2
10418,210.5,31.2,71,2
10998,209.4,32.8,23,1
10656,209.1,28.5,24,2
10636,208.7,2.6,29,2
10886,199.0,35.5,57,2
10606,186.4,-6.4,25,2
10608,181.9,-0.8,32,2
