trial_num,run,run_type,stim_condition,trial_in_contingency,current_good,contingency_trials,flower1,flower2,slot1_position,slot2_position,choice,rt,correct,reward,wait_time,iti,timestamp,trial_start_time,stim_guess,subject_id,session,age,gender,date
0,7,stimulation,sham,0,1,27,23,8,left,right,2,1155.895709991455,False,False,2000.0,250.0,2985.1445548534393,5.419207811355591,no,10950,1,26,f,2026-04-17_14-13-31
1,7,stimulation,sham,1,1,27,23,8,right,left,1,711.4524841308594,True,False,2000.0,250.0,2990.117206811905,10.391860246658325,no,10950,1,26,f,2026-04-17_14-13-31
2,7,stimulation,sham,2,1,27,23,8,right,left,2,376.90281867980957,False,False,2000.0,250.0,2994.7555232048035,15.030176401138306,no,10950,1,26,f,2026-04-17_14-13-31
3,7,stimulation,sham,3,1,27,23,8,left,right,1,417.7660942077637,True,False,2000.0,250.0,2999.4356083869934,19.71026110649109,no,10950,1,26,f,2026-04-17_14-13-31
4,7,stimulation,sham,4,1,27,23,8,left,right,1,343.6462879180908,True,True,2000.0,250.0,3004.0405688285828,24.31522226333618,no,10950,1,26,f,2026-04-17_14-13-31
5,7,stimulation,sham,5,1,27,23,8,right,left,1,383.3308219909668,True,True,2000.0,250.0,3008.6851472854614,28.959800481796265,no,10950,1,26,f,2026-04-17_14-13-31
6,7,stimulation,sham,6,1,27,23,8,left,right,1,395.56312561035156,True,False,2000.0,250.0,3013.342513561249,33.61716651916504,no,10950,1,26,f,2026-04-17_14-13-31
7,7,stimulation,sham,7,1,27,23,8,left,right,1,416.7778491973877,True,False,2000.0,250.0,3018.020737886429,38.29539084434509,no,10950,1,26,f,2026-04-17_14-13-31
8,7,stimulation,sham,8,1,27,23,8,left,right,2,344.6836471557617,False,False,2000.0,250.0,3022.6260421276093,42.90069556236267,no,10950,1,26,f,2026-04-17_14-13-31
9,7,stimulation,sham,9,1,27,23,8,right,left,1,412.15062141418457,True,True,2000.0,250.0,3027.2997329235077,47.57438588142395,no,10950,1,26,f,2026-04-17_14-13-31
10,7,stimulation,sham,10,1,27,23,8,left,right,1,595.6623554229736,True,True,2000.0,250.0,3032.1565248966217,52.431177854537964,no,10950,1,26,f,2026-04-17_14-13-31
11,7,stimulation,sham,11,1,27,23,8,right,left,1,428.0281066894531,True,False,2000.0,250.0,3036.8461859226227,57.12083888053894,no,10950,1,26,f,2026-04-17_14-13-31
12,7,stimulation,sham,12,1,27,23,8,left,right,2,409.5721244812012,False,False,2000.0,250.0,3041.5163054466248,61.790958642959595,no,10950,1,26,f,2026-04-17_14-13-31
13,7,stimulation,sham,13,1,27,23,8,left,right,1,556.9944381713867,True,False,2000.0,250.0,3046.334775686264,66.6094286441803,no,10950,1,26,f,2026-04-17_14-13-31
14,7,stimulation,sham,14,1,27,23,8,left,right,2,296.1540222167969,False,False,2000.0,250.0,3050.891900539398,71.16655349731445,no,10950,1,26,f,2026-04-17_14-13-31
15,7,stimulation,sham,15,1,27,23,8,right,left,2,215.3170108795166,False,True,2000.0,250.0,3055.368337392807,75.64299082756042,no,10950,1,26,f,2026-04-17_14-13-31
16,7,stimulation,sham,16,1,27,23,8,right,left,2,873.2638359069824,False,False,2000.0,250.0,3060.5029957294464,80.77764892578125,no,10950,1,26,f,2026-04-17_14-13-31
17,7,stimulation,sham,17,1,27,23,8,left,right,2,349.7645854949951,False,False,2000.0,250.0,3065.1138541698456,85.38850712776184,no,10950,1,26,f,2026-04-17_14-13-31
18,7,stimulation,sham,18,1,27,23,8,right,left,2,279.9491882324219,False,False,2000.0,250.0,3069.654562473297,89.92921543121338,no,10950,1,26,f,2026-04-17_14-13-31
19,7,stimulation,sham,19,1,27,23,8,right,left,1,246.48642539978027,True,False,2000.0,250.0,3074.1622178554535,94.43687081336975,no,10950,1,26,f,2026-04-17_14-13-31
20,7,stimulation,sham,20,1,27,23,8,left,right,1,231.22477531433105,True,False,2000.0,250.0,3078.6560213565826,98.9306743144989,no,10950,1,26,f,2026-04-17_14-13-31
21,7,stimulation,sham,21,1,27,23,8,right,left,1,278.72180938720703,True,True,2000.0,250.0,3083.1963090896606,103.47096228599548,no,10950,1,26,f,2026-04-17_14-13-31
22,7,stimulation,sham,22,1,27,23,8,left,right,2,377.915620803833,False,False,2000.0,250.0,3087.8360571861267,108.11071014404297,no,10950,1,26,f,2026-04-17_14-13-31
23,7,stimulation,sham,23,1,27,23,8,right,left,1,394.24920082092285,True,True,2000.0,250.0,3092.490969181061,112.76562452316284,no,10950,1,26,f,2026-04-17_14-13-31
24,7,stimulation,sham,24,1,27,23,8,right,left,1,396.9404697418213,True,True,2000.0,250.0,3097.1484410762787,117.4230945110321,no,10950,1,26,f,2026-04-17_14-13-31
25,7,stimulation,sham,25,1,27,23,8,right,left,1,408.2293510437012,True,True,2000.0,250.0,3101.817748785019,122.09240221977234,no,10950,1,26,f,2026-04-17_14-13-31
26,7,stimulation,sham,26,1,27,23,8,left,right,1,539.992094039917,True,False,2000.0,250.0,3106.6191968917847,126.89385032653809,no,10950,1,26,f,2026-04-17_14-13-31
27,7,stimulation,sham,0,2,29,23,8,right,left,1,314.7294521331787,False,True,2000.0,250.0,3111.1966252326965,131.4712781906128,no,10950,1,26,f,2026-04-17_14-13-31
28,7,stimulation,sham,1,2,29,23,8,left,right,1,443.889856338501,False,False,2000.0,250.0,3115.9020578861237,136.17671084403992,no,10950,1,26,f,2026-04-17_14-13-31
29,7,stimulation,sham,2,2,29,23,8,left,right,2,429.92091178894043,True,False,2000.0,250.0,3120.5932927131653,140.86794567108154,no,10950,1,26,f,2026-04-17_14-13-31
30,7,stimulation,sham,3,2,29,23,8,left,right,1,397.7797031402588,False,True,2000.0,250.0,3125.253251314163,145.52790451049805,no,10950,1,26,f,2026-04-17_14-13-31
31,7,stimulation,sham,4,2,29,23,8,left,right,1,380.3853988647461,False,False,2000.0,250.0,3129.894628763199,150.1692817211151,no,10950,1,26,f,2026-04-17_14-13-31
32,7,stimulation,sham,5,2,29,23,8,left,right,1,368.1015968322754,False,False,2000.0,250.0,3134.5237295627594,154.79838275909424,no,10950,1,26,f,2026-04-17_14-13-31
33,7,stimulation,sham,6,2,29,23,8,left,right,1,365.631103515625,False,False,2000.0,250.0,3139.1507427692413,159.42539620399475,no,10950,1,26,f,2026-04-17_14-13-31
34,7,stimulation,sham,7,2,29,23,8,left,right,2,335.16621589660645,True,False,2000.0,250.0,3143.746467590332,164.02112102508545,no,10950,1,26,f,2026-04-17_14-13-31
35,7,stimulation,sham,8,2,29,23,8,left,right,2,368.2057857513428,True,False,2000.0,250.0,3148.3754506111145,168.65010333061218,no,10950,1,26,f,2026-04-17_14-13-31
36,7,stimulation,sham,9,2,29,23,8,left,right,2,378.97491455078125,True,True,2000.0,250.0,3153.0151443481445,173.28979921340942,no,10950,1,26,f,2026-04-17_14-13-31
37,7,stimulation,sham,10,2,29,23,8,right,left,2,447.92842864990234,True,True,2000.0,250.0,3157.7241609096527,177.99881410598755,no,10950,1,26,f,2026-04-17_14-13-31
38,7,stimulation,sham,11,2,29,23,8,right,left,2,368.7865734100342,True,False,2000.0,250.0,3162.35395359993,182.62860655784607,no,10950,1,26,f,2026-04-17_14-13-31
39,7,stimulation,sham,12,2,29,23,8,right,left,2,327.0118236541748,True,True,2000.0,250.0,3166.9419808387756,187.21663403511047,no,10950,1,26,f,2026-04-17_14-13-31
40,7,stimulation,sham,13,2,29,23,8,right,left,2,314.16964530944824,True,True,2000.0,250.0,3171.51793384552,191.79258728027344,no,10950,1,26,f,2026-04-17_14-13-31
41,7,stimulation,sham,14,2,29,23,8,right,left,2,330.99818229675293,True,True,2000.0,250.0,3176.109787464142,196.3844404220581,no,10950,1,26,f,2026-04-17_14-13-31
42,7,stimulation,sham,15,2,29,23,8,left,right,2,450.35696029663086,True,False,2000.0,250.0,3180.820653438568,201.09530639648438,no,10950,1,26,f,2026-04-17_14-13-31
43,7,stimulation,sham,16,2,29,23,8,left,right,2,329.42819595336914,True,True,2000.0,250.0,3185.4116892814636,205.6863420009613,no,10950,1,26,f,2026-04-17_14-13-31
44,7,stimulation,sham,17,2,29,23,8,left,right,2,361.27614974975586,True,True,2000.0,250.0,3190.034082889557,210.30873584747314,no,10950,1,26,f,2026-04-17_14-13-31
45,7,stimulation,sham,18,2,29,23,8,right,left,2,430.70459365844727,True,True,2000.0,250.0,3194.725204706192,214.99985790252686,no,10950,1,26,f,2026-04-17_14-13-31
46,7,stimulation,sham,19,2,29,23,8,left,right,2,394.2756652832031,True,True,2000.0,250.0,3199.3800551891327,219.65470814704895,no,10950,1,26,f,2026-04-17_14-13-31
47,7,stimulation,sham,20,2,29,23,8,left,right,2,344.88463401794434,True,True,2000.0,250.0,3203.9864757061005,224.26112866401672,no,10950,1,26,f,2026-04-17_14-13-31
48,7,stimulation,sham,21,2,29,23,8,left,right,2,248.84414672851562,True,False,2000.0,250.0,3208.4969680309296,228.77162098884583,no,10950,1,26,f,2026-04-17_14-13-31
49,7,stimulation,sham,22,2,29,23,8,left,right,1,428.2045364379883,False,False,2000.0,250.0,3213.1871061325073,233.46175909042358,no,10950,1,26,f,2026-04-17_14-13-31
50,7,stimulation,sham,23,2,29,23,8,right,left,1,296.5984344482422,False,True,2000.0,250.0,3217.7464776039124,238.0211308002472,no,10950,1,26,f,2026-04-17_14-13-31
51,7,stimulation,sham,24,2,29,23,8,left,right,1,345.0918197631836,False,False,2000.0,250.0,3222.3525235652924,242.6271767616272,no,10950,1,26,f,2026-04-17_14-13-31
52,7,stimulation,sham,25,2,29,23,8,right,left,2,479.2673587799072,True,True,2000.0,250.0,3227.0931980609894,247.36785125732422,no,10950,1,26,f,2026-04-17_14-13-31
53,7,stimulation,sham,26,2,29,23,8,left,right,2,393.9204216003418,True,True,2000.0,250.0,3231.7484877109528,252.02314114570618,no,10950,1,26,f,2026-04-17_14-13-31
54,7,stimulation,sham,27,2,29,23,8,left,right,2,443.23158264160156,True,True,2000.0,250.0,3236.452761888504,256.72741532325745,no,10950,1,26,f,2026-04-17_14-13-31
55,7,stimulation,sham,28,2,29,23,8,right,left,2,478.0540466308594,True,False,2000.0,250.0,3241.1915004253387,261.4661536216736,no,10950,1,26,f,2026-04-17_14-13-31
56,7,stimulation,sham,0,1,28,23,8,left,right,1,362.84446716308594,True,True,2000.0,250.0,3245.8157725334167,266.090425491333,no,10950,1,26,f,2026-04-17_14-13-31
57,7,stimulation,sham,1,1,28,23,8,right,left,1,379.03380393981934,True,True,2000.0,250.0,3250.4559960365295,270.7306492328644,no,10950,1,26,f,2026-04-17_14-13-31
58,7,stimulation,sham,2,1,28,23,8,left,right,1,443.6681270599365,True,True,2000.0,250.0,3255.160271883011,275.4349250793457,no,10950,1,26,f,2026-04-17_14-13-31
59,7,stimulation,sham,3,1,28,23,8,right,left,1,411.8223190307617,True,True,2000.0,250.0,3259.8341319561005,280.1087849140167,no,10950,1,26,f,2026-04-17_14-13-31
60,7,stimulation,sham,4,1,28,23,8,right,left,1,363.8339042663574,True,True,2000.0,250.0,3264.459418773651,284.73407196998596,no,10950,1,26,f,2026-04-17_14-13-31
61,7,stimulation,sham,5,1,28,23,8,left,right,1,346.85254096984863,True,True,2000.0,250.0,3269.0670874118805,289.34174036979675,no,10950,1,26,f,2026-04-17_14-13-31
62,7,stimulation,sham,6,1,28,23,8,right,left,1,298.0389595031738,True,True,2000.0,250.0,3273.6264295578003,293.90108251571655,no,10950,1,26,f,2026-04-17_14-13-31
63,7,stimulation,sham,7,1,28,23,8,left,right,1,402.8506278991699,True,False,2000.0,250.0,3278.290112018585,298.56476521492004,no,10950,1,26,f,2026-04-17_14-13-31
64,7,stimulation,sham,8,1,28,23,8,right,left,1,384.39154624938965,True,False,2000.0,250.0,3282.9351694583893,303.2098226547241,no,10950,1,26,f,2026-04-17_14-13-31
65,7,stimulation,sham,9,1,28,23,8,left,right,1,411.70549392700195,True,True,2000.0,250.0,3287.606822013855,307.8814766407013,no,10950,1,26,f,2026-04-17_14-13-31
66,7,stimulation,sham,10,1,28,23,8,right,left,1,400.7554054260254,True,True,2000.0,250.0,3292.26891541481,312.5435688495636,no,10950,1,26,f,2026-04-17_14-13-31
67,7,stimulation,sham,11,1,28,23,8,right,left,1,410.5358123779297,True,False,2000.0,250.0,3296.9403607845306,317.2150137424469,no,10950,1,26,f,2026-04-17_14-13-31
68,7,stimulation,sham,12,1,28,23,8,left,right,1,364.2292022705078,True,True,2000.0,250.0,3301.5664875507355,321.8411407470703,no,10950,1,26,f,2026-04-17_14-13-31
69,7,stimulation,sham,13,1,28,23,8,left,right,1,330.22594451904297,True,True,2000.0,250.0,3306.1580691337585,326.4327218532562,no,10950,1,26,f,2026-04-17_14-13-31
