trial_num,block_num,trial_in_contingency,current_good,choice,rt,correct,reward,wait_time,iti,subject_id,session,run,age,gender,date
0,1,0,1,1.0,624.2659091949463,True,True,50.0,110.03669348271391,9999,1,1,31,M,2025-08-06_11-20-49
1,1,1,1,2.0,729.3589115142822,False,False,50.0,81.09697927774877,9999,1,1,31,M,2025-08-06_11-20-49
2,1,2,1,1.0,388.23509216308594,True,False,50.0,242.7275197455413,9999,1,1,31,M,2025-08-06_11-20-49
3,1,3,1,2.0,458.0080509185791,False,False,50.0,915.032053134261,9999,1,1,31,M,2025-08-06_11-20-49
4,1,4,1,1.0,577.2809982299805,True,True,50.0,58.51847909808802,9999,1,1,31,M,2025-08-06_11-20-49
5,1,5,1,2.0,592.1180248260498,False,False,50.0,216.63888635346447,9999,1,1,31,M,2025-08-06_11-20-49
6,1,6,1,1.0,1101.7560958862305,True,True,50.0,185.43870520567376,9999,1,1,31,M,2025-08-06_11-20-49
7,1,7,1,2.0,968.2579040527344,False,False,50.0,39.520115387425975,9999,1,1,31,M,2025-08-06_11-20-49
8,1,8,1,1.0,1169.5029735565186,True,True,50.0,190.9838034464603,9999,1,1,31,M,2025-08-06_11-20-49
9,1,9,1,,,,,50.0,272.0717521907009,9999,1,1,31,M,2025-08-06_11-20-49
10,1,10,1,2.0,1.461029052734375,False,False,50.0,69.31577158034126,9999,1,1,31,M,2025-08-06_11-20-49
11,1,11,1,1.0,509.64808464050293,True,True,50.0,133.02388535253627,9999,1,1,31,M,2025-08-06_11-20-49
12,1,12,1,2.0,1.2199878692626953,False,False,50.0,295.47363335534226,9999,1,1,31,M,2025-08-06_11-20-49
13,1,13,1,1.0,776.2739658355713,True,True,50.0,80.06776891160354,9999,1,1,31,M,2025-08-06_11-20-49
14,1,14,1,2.0,962.252140045166,False,True,50.0,22.975028091768415,9999,1,1,31,M,2025-08-06_11-20-49
15,1,15,1,1.0,1050.4300594329834,True,True,50.0,15.022249672550531,9999,1,1,31,M,2025-08-06_11-20-49
16,1,16,1,2.0,1132.946252822876,False,False,50.0,25.563876973852796,9999,1,1,31,M,2025-08-06_11-20-49
17,1,17,1,,,,,50.0,72.51065011206252,9999,1,1,31,M,2025-08-06_11-20-49
18,1,18,1,1.0,866.0798072814941,True,True,50.0,191.45615011766714,9999,1,1,31,M,2025-08-06_11-20-49
19,1,19,1,2.0,1322.326898574829,False,True,50.0,92.76623289987654,9999,1,1,31,M,2025-08-06_11-20-49
20,1,20,1,,,,,50.0,128.7694561692879,9999,1,1,31,M,2025-08-06_11-20-49
21,1,21,1,1.0,1.2981891632080078,True,False,50.0,138.80471766581996,9999,1,1,31,M,2025-08-06_11-20-49
22,1,22,1,1.0,1288.5313034057617,True,True,50.0,561.0292843791995,9999,1,1,31,M,2025-08-06_11-20-49
23,1,23,1,2.0,1390.653133392334,False,True,50.0,39.80279450497852,9999,1,1,31,M,2025-08-06_11-20-49
24,1,24,1,,,,,50.0,288.5848639142377,9999,1,1,31,M,2025-08-06_11-20-49
25,1,0,2,1.0,658.4749221801758,False,False,50.0,186.1447336169035,9999,1,1,31,M,2025-08-06_11-20-49
26,1,1,2,,,,,50.0,114.51688253766054,9999,1,1,31,M,2025-08-06_11-20-49
27,1,2,2,2.0,1068.6850547790527,True,True,50.0,215.66345629027484,9999,1,1,31,M,2025-08-06_11-20-49
28,1,3,2,1.0,458.9099884033203,False,False,50.0,228.7102629058084,9999,1,1,31,M,2025-08-06_11-20-49
29,1,4,2,1.0,965.9876823425293,False,False,50.0,83.85178751264826,9999,1,1,31,M,2025-08-06_11-20-49
30,1,5,2,2.0,1082.2930335998535,True,False,50.0,690.4365853474116,9999,1,1,31,M,2025-08-06_11-20-49
31,1,6,2,1.0,609.2889308929443,False,False,50.0,454.5274606554899,9999,1,1,31,M,2025-08-06_11-20-49
32,1,7,2,2.0,1451.6620635986328,True,True,50.0,85.2358624866738,9999,1,1,31,M,2025-08-06_11-20-49
33,1,8,2,1.0,1282.5162410736084,False,False,50.0,418.3366167298975,9999,1,1,31,M,2025-08-06_11-20-49
34,1,9,2,,,,,50.0,197.99536579112555,9999,1,1,31,M,2025-08-06_11-20-49
35,1,10,2,,,,,50.0,497.00876851891894,9999,1,1,31,M,2025-08-06_11-20-49
36,1,11,2,1.0,369.21095848083496,False,False,50.0,36.74970959170992,9999,1,1,31,M,2025-08-06_11-20-49
37,1,12,2,2.0,474.4839668273926,True,False,50.0,181.00482202884925,9999,1,1,31,M,2025-08-06_11-20-49
38,1,13,2,,,,,50.0,729.0301617917431,9999,1,1,31,M,2025-08-06_11-20-49
39,1,14,2,1.0,16.18504524230957,False,False,50.0,313.17632153914707,9999,1,1,31,M,2025-08-06_11-20-49
40,1,15,2,,,,,50.0,20.236733056135,9999,1,1,31,M,2025-08-06_11-20-49
41,1,16,2,2.0,1403.1932353973389,True,False,50.0,6.659751605542136,9999,1,1,31,M,2025-08-06_11-20-49
42,1,17,2,1.0,220.45397758483887,False,False,50.0,437.1175729239655,9999,1,1,31,M,2025-08-06_11-20-49
43,1,18,2,2.0,35.20798683166504,True,True,50.0,63.253595549220805,9999,1,1,31,M,2025-08-06_11-20-49
44,1,19,2,1.0,743.0260181427002,False,False,50.0,104.24538028050813,9999,1,1,31,M,2025-08-06_11-20-49
45,1,20,2,2.0,911.1161231994629,True,False,50.0,20.495446130022437,9999,1,1,31,M,2025-08-06_11-20-49
46,1,21,2,1.0,641.4639949798584,False,False,50.0,0.0251013285727878,9999,1,1,31,M,2025-08-06_11-20-49
47,1,22,2,2.0,593.2841300964355,True,True,50.0,148.31373210292347,9999,1,1,31,M,2025-08-06_11-20-49
48,1,23,2,1.0,307.9092502593994,False,True,50.0,234.2621244535571,9999,1,1,31,M,2025-08-06_11-20-49
49,1,24,2,1.0,307.7208995819092,False,False,50.0,236.48328559290783,9999,1,1,31,M,2025-08-06_11-20-49
50,2,25,2,2.0,524.3909358978271,True,True,50.0,722.1780787674066,9999,1,1,31,M,2025-08-06_11-20-49
51,2,26,2,1.0,696.3090896606445,False,False,50.0,104.21976886372356,9999,1,1,31,M,2025-08-06_11-20-49
52,2,27,2,,,,,50.0,147.4023036580391,9999,1,1,31,M,2025-08-06_11-20-49
