variable,table,domain,description,source,producer,role,status,hypotheses,expected_missing,missing_note,notes
brain_charm,efield,morphometry,Brain volume from charm segmentation (mm3),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_intracranial.py,secondary,current,,,,
charm_dlpfc_n_vert,efield,morphometry,DLPFC vertices in charm surface,SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_charm_thickness.py,qc,current,,,,
charm_dlpfc_thickness,efield,morphometry,DLPFC cortical thickness from charm (mm),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_charm_thickness.py,secondary,current,,,,Cross-check on FreeSurfer dlpfc_thickness.
charm_mean_thickness,efield,morphometry,Whole-hemisphere cortical thickness from charm surfaces (mm),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_charm_thickness.py,secondary,current,,,,
charm_thickness_sd,efield,morphometry,SD of charm cortical thickness (mm),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_charm_thickness.py,qc,current,,,,
csf_charm,efield,morphometry,Whole-head CSF volume from charm segmentation (mm3),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_intracranial.py,secondary,current,,,,CSF: strongest age relationship (r=+.50).
dist_central_dlpfc_min,efield,geometry,"F3-to-central surface distance within DLPFC, nearest vertex (mm)",SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_scalp_cortex_distance.py,secondary,current,,,,
dist_central_dlpfc_p1,efield,geometry,"F3-to-central surface distance within DLPFC, 1st percentile (mm)",SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_scalp_cortex_distance.py,secondary,current,,,,
dist_central_min,efield,geometry,"F3-to-central surface distance, nearest vertex (mm)",SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_scalp_cortex_distance.py,secondary,current,,,,
dist_central_p1,efield,geometry,"F3-to-central surface distance, 1st percentile (mm)",SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_scalp_cortex_distance.py,secondary,current,,,,
dist_pial_dlpfc_min,efield,geometry,"F3-to-pial surface distance within DLPFC, nearest vertex (mm)",SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_scalp_cortex_distance.py,secondary,current,,,,
dist_pial_dlpfc_p1,efield,geometry,"F3-to-pial surface distance within DLPFC, 1st percentile (mm)",SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_scalp_cortex_distance.py,mechanism,current,,,,Primary geometry measure.
dist_pial_min,efield,geometry,"F3-to-pial surface distance, nearest vertex (mm)",SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_scalp_cortex_distance.py,secondary,current,,,,
dist_pial_p1,efield,geometry,"F3-to-pial surface distance, 1st percentile (mm)",SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_scalp_cortex_distance.py,secondary,current,,,,
f3_x,efield,efield,"F3 electrode position, subject space (x, mm)",SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_efield_roi.py,qc,current,,,,
f3_y,efield,efield,"F3 electrode position, subject space (y, mm)",SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_efield_roi.py,qc,current,,,,
f3_z,efield,efield,"F3 electrode position, subject space (z, mm)",SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_efield_roi.py,qc,current,,,,
icv_charm,efield,morphometry,Intracranial volume from charm segmentation (mm3),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_intracranial.py,secondary,current,,,,
layer_csf,efield,skull,CSF thickness along the F3-to-cortex ray (mm),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_skull_layers.py,secondary,current,,,,
layer_diploe,efield,skull,Diploe thickness along the F3-to-cortex ray (mm),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_skull_layers.py,secondary,unreliable,,,,Diploe/table split unreliable in charm; report total skull only.
layer_inner_table,efield,skull,Inner table thickness along the F3-to-cortex ray (mm),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_skull_layers.py,secondary,unreliable,,,,Diploe/table split unreliable in charm; report total skull only.
layer_other,efield,skull,Other tissue thickness along the F3-to-cortex ray (mm),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_skull_layers.py,qc,current,,,,
layer_outer_table,efield,skull,Outer table thickness along the F3-to-cortex ray (mm),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_skull_layers.py,secondary,unreliable,,,,Diploe/table split unreliable in charm; report total skull only.
layer_path,efield,skull,Total path thickness along the F3-to-cortex ray (mm),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_skull_layers.py,qc,current,,,,
layer_scalp,efield,skull,Scalp thickness along the F3-to-cortex ray (mm),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_skull_layers.py,secondary,current,,,,
layer_skull,efield,skull,Total skull thickness along the F3-to-cortex ray (mm),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_skull_layers.py,mechanism,current,,,,"Women thicken with age (r=+.67), men do not."
mean_magnE,efield,efield,Mean |E| in gray matter within 20 mm of F3 (V/m),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_efield_roi.py,outcome,current,E-field x age (Fig 1),,,Primary dose measure.
median_magnE,efield,efield,Median |E| in ROI (V/m),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_efield_roi.py,secondary,current,,,,
n_gm_elements_roi,efield,efield,Gray-matter elements inside ROI sphere,SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_efield_roi.py,qc,current,,,,
p95_magnE,efield,efield,95th percentile |E| in ROI (V/m),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_efield_roi.py,secondary,current,,,,
parcel_mean_magnE,efield,efield,mean |E| over DK40 DLPFC parcel (rostral+caudal MFG),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_efield_parcel.py,secondary,current,,,,
parcel_median_magnE,efield,efield,median |E| over DK40 DLPFC parcel (rostral+caudal MFG),SimNIBS 4.6 head models (charm) + FEM simulation,simNIBS repo: scripts/extract_efield_parcel.py,secondary,current,,,,
