trial_num,run,run_type,stim_condition,trial_in_contingency,current_good,contingency_trials,flower1,flower2,slot1_position,slot2_position,choice,rt,correct,reward,wait_time,iti,timestamp,trial_start_time,subject_id,session,age,gender,date
32,2,stimulation,active,3,1,29,36,1,right,left,2.0,500.35762786865234,False,False,2000.0,250.0,856.4740462303162,170.02828645706177,1432,1,31,m,2026-01-14_20-43-13
33,2,stimulation,active,4,1,29,36,1,right,left,,,,,2000.0,250.0,862.2462992668152,175.8005392551422,1432,1,31,m,2026-01-14_20-43-13
34,2,stimulation,active,5,1,29,36,1,right,left,2.0,267.9924964904785,False,False,2000.0,250.0,866.7760310173035,180.3302707672119,1432,1,31,m,2026-01-14_20-43-13
35,2,stimulation,active,6,1,29,36,1,left,right,1.0,66.67208671569824,True,False,2000.0,250.0,871.1031305789948,184.65736961364746,1432,1,31,m,2026-01-14_20-43-13
36,2,stimulation,active,7,1,29,36,1,left,right,1.0,286.25941276550293,True,False,2000.0,250.0,875.6502861976624,189.20452618598938,1432,1,31,m,2026-01-14_20-43-13
37,2,stimulation,active,8,1,29,36,1,right,left,2.0,486.3851070404053,False,False,2000.0,250.0,880.3979361057281,193.9521758556366,1432,1,31,m,2026-01-14_20-43-13
38,2,stimulation,active,9,1,29,36,1,left,right,1.0,824.9542713165283,True,True,2000.0,250.0,885.4839372634888,199.03817677497864,1432,1,31,m,2026-01-14_20-43-13
39,2,stimulation,active,10,1,29,36,1,left,right,1.0,1072.934865951538,True,True,2000.0,250.0,890.8183877468109,204.37262749671936,1432,1,31,m,2026-01-14_20-43-13
40,2,stimulation,active,11,1,29,36,1,left,right,1.0,16.669511795043945,True,True,2000.0,250.0,895.0963118076324,208.6505515575409,1432,1,31,m,2026-01-14_20-43-13
41,2,stimulation,active,12,1,29,36,1,right,left,2.0,218.98627281188965,False,False,2000.0,250.0,899.5752382278442,213.12947964668274,1432,1,31,m,2026-01-14_20-43-13
42,2,stimulation,active,13,1,29,36,1,left,right,1.0,218.66083145141602,True,True,2000.0,250.0,904.0545892715454,217.60882878303528,1432,1,31,m,2026-01-14_20-43-13
43,2,stimulation,active,14,1,29,36,1,left,right,1.0,265.6238079071045,True,True,2000.0,250.0,908.5812695026398,222.13550877571106,1432,1,31,m,2026-01-14_20-43-13
44,2,stimulation,active,15,1,29,36,1,left,right,1.0,216.7379856109619,True,True,2000.0,250.0,913.0586552619934,226.61289477348328,1432,1,31,m,2026-01-14_20-43-13
45,2,stimulation,active,16,1,29,36,1,left,right,1.0,100.23140907287598,True,True,2000.0,250.0,917.4194796085358,230.97371912002563,1432,1,31,m,2026-01-14_20-43-13
46,2,stimulation,active,17,1,29,36,1,left,right,1.0,353.0707359313965,True,True,2000.0,250.0,922.0332169532776,235.58745670318604,1432,1,31,m,2026-01-14_20-43-13
47,2,stimulation,active,18,1,29,36,1,right,left,2.0,362.5044822692871,False,False,2000.0,250.0,926.6558699607849,240.2101104259491,1432,1,31,m,2026-01-14_20-43-13
48,2,stimulation,active,19,1,29,36,1,right,left,2.0,301.81384086608887,False,False,2000.0,250.0,931.2180652618408,244.77230525016785,1432,1,31,m,2026-01-14_20-43-13
49,2,stimulation,active,20,1,29,36,1,right,left,2.0,302.25181579589844,False,True,2000.0,250.0,935.7812328338623,249.3354721069336,1432,1,31,m,2026-01-14_20-43-13
50,2,stimulation,active,21,1,29,36,1,left,right,1.0,268.97144317626953,True,False,2000.0,250.0,940.3108727931976,253.8651123046875,1432,1,31,m,2026-01-14_20-43-13
