trial_num,run,run_type,stim_condition,trial_in_contingency,current_good,contingency_trials,flower1,flower2,slot1_position,slot2_position,choice,rt,correct,reward,wait_time,iti,timestamp,trial_start_time,subject_id,session,age,gender,date
0,1,baseline,baseline,0,2,27,6,27,right,left,2,575.8857727050781,True,True,2000.0,250.0,22.82767415046692,4.863430976867676,p1001,1,31,m,2025-12-08_10-09-58
1,1,baseline,baseline,1,2,27,6,27,right,left,2,1149.6169567108154,True,True,2000.0,250.0,28.262999057769775,10.298757791519165,p1001,1,31,m,2025-12-08_10-09-58
2,1,baseline,baseline,2,2,27,6,27,right,left,2,544.7211265563965,True,True,2000.0,250.0,33.09688091278076,15.132633924484253,p1001,1,31,m,2025-12-08_10-09-58
3,1,baseline,baseline,3,2,27,6,27,right,left,2,642.5220966339111,True,True,2000.0,250.0,38.03050708770752,20.06626009941101,p1001,1,31,m,2025-12-08_10-09-58
4,1,baseline,baseline,4,2,27,6,27,right,left,2,577.0120620727539,True,True,2000.0,250.0,42.89679408073425,24.93254590034485,p1001,1,31,m,2025-12-08_10-09-58
5,1,baseline,baseline,5,2,27,6,27,left,right,2,1676.0139465332031,True,True,2000.0,250.0,48.86144208908081,30.897194862365723,p1001,1,31,m,2025-12-08_10-09-58
6,1,baseline,baseline,6,2,27,6,27,right,left,2,557.7149391174316,True,True,2000.0,250.0,53.70533084869385,35.74108290672302,p1001,1,31,m,2025-12-08_10-09-58
7,1,baseline,baseline,7,2,27,6,27,left,right,2,441.1149024963379,True,False,2000.0,250.0,58.43696594238281,40.47271776199341,p1001,1,31,m,2025-12-08_10-09-58
8,1,baseline,baseline,8,2,27,6,27,right,left,2,713.96803855896,True,True,2000.0,250.0,63.44102191925049,45.47677493095398,p1001,1,31,m,2025-12-08_10-09-58
9,1,baseline,baseline,9,2,27,6,27,right,left,2,490.0777339935303,True,True,2000.0,250.0,68.21567106246948,50.25142288208008,p1001,1,31,m,2025-12-08_10-09-58
10,1,baseline,baseline,10,2,27,6,27,right,left,2,912.0697975158691,True,True,2000.0,250.0,73.41636610031128,55.452117681503296,p1001,1,31,m,2025-12-08_10-09-58
11,1,baseline,baseline,11,2,27,6,27,left,right,2,728.8870811462402,True,True,2000.0,250.0,78.43453788757324,60.47029089927673,p1001,1,31,m,2025-12-08_10-09-58
12,1,baseline,baseline,12,2,27,6,27,right,left,2,422.15609550476074,True,True,2000.0,250.0,83.14462494850159,65.18037676811218,p1001,1,31,m,2025-12-08_10-09-58
13,1,baseline,baseline,13,2,27,6,27,left,right,2,390.41781425476074,True,False,2000.0,250.0,87.8211100101471,69.85686087608337,p1001,1,31,m,2025-12-08_10-09-58
14,1,baseline,baseline,14,2,27,6,27,right,left,2,389.33706283569336,True,True,2000.0,250.0,92.49667882919312,74.53243088722229,p1001,1,31,m,2025-12-08_10-09-58
15,1,baseline,baseline,15,2,27,6,27,right,left,2,504.122257232666,True,True,2000.0,250.0,97.28924489021301,79.32499694824219,p1001,1,31,m,2025-12-08_10-09-58
16,1,baseline,baseline,16,2,27,6,27,left,right,2,459.0320587158203,True,True,2000.0,250.0,102.03828310966492,84.07403588294983,p1001,1,31,m,2025-12-08_10-09-58
17,1,baseline,baseline,17,2,27,6,27,left,right,2,460.7357978820801,True,True,2000.0,250.0,106.78957104682922,88.82532286643982,p1001,1,31,m,2025-12-08_10-09-58
18,1,baseline,baseline,18,2,27,6,27,right,left,2,425.2963066101074,True,False,2000.0,250.0,111.50349283218384,93.53924584388733,p1001,1,31,m,2025-12-08_10-09-58
19,1,baseline,baseline,19,2,27,6,27,right,left,2,421.597957611084,True,True,2000.0,250.0,116.21090984344482,98.24666285514832,p1001,1,31,m,2025-12-08_10-09-58
20,1,baseline,baseline,20,2,27,6,27,right,left,2,442.83533096313477,True,True,2000.0,250.0,120.94367599487305,102.97942876815796,p1001,1,31,m,2025-12-08_10-09-58
21,1,baseline,baseline,21,2,27,6,27,right,left,2,441.96081161499023,True,True,2000.0,250.0,125.67589998245239,107.71165299415588,p1001,1,31,m,2025-12-08_10-09-58
22,1,baseline,baseline,22,2,27,6,27,left,right,2,627.3140907287598,True,True,2000.0,250.0,130.5862021446228,112.62195491790771,p1001,1,31,m,2025-12-08_10-09-58
23,1,baseline,baseline,23,2,27,6,27,left,right,2,577.5549411773682,True,True,2000.0,250.0,135.45508408546448,117.49083709716797,p1001,1,31,m,2025-12-08_10-09-58
24,1,baseline,baseline,24,2,27,6,27,right,left,2,523.3190059661865,True,True,2000.0,250.0,140.26673007011414,122.30248403549194,p1001,1,31,m,2025-12-08_10-09-58
25,1,baseline,baseline,25,2,27,6,27,right,left,2,594.9938297271729,True,True,2000.0,250.0,145.15192079544067,127.18767285346985,p1001,1,31,m,2025-12-08_10-09-58
26,1,baseline,baseline,26,2,27,6,27,left,right,2,406.05998039245605,True,True,2000.0,250.0,149.84750485420227,131.88325786590576,p1001,1,31,m,2025-12-08_10-09-58
27,1,baseline,baseline,0,1,25,6,27,right,left,2,391.4339542388916,False,False,2000.0,250.0,154.52844285964966,136.56420373916626,p1001,1,31,m,2025-12-08_10-09-58
28,1,baseline,baseline,1,1,25,6,27,left,right,2,375.20575523376465,False,False,2000.0,250.0,159.1905541419983,141.2263057231903,p1001,1,31,m,2025-12-08_10-09-58
