trial_num,run,run_type,stim_condition,trial_in_contingency,current_good,contingency_trials,flower1,flower2,slot1_position,slot2_position,choice,rt,correct,reward,wait_time,iti,timestamp,trial_start_time,subject_id,session,age,gender,date
0,3,stimulation,sham,0,2,26,6,12,left,right,1,1545.022964477539,False,True,2000.0,250.0,1121.167466878891,5.807322025299072,avi-pilot,1,23,m,2026-01-15_12-54-03
1,3,stimulation,sham,1,2,26,6,12,right,left,1,622.4572658538818,False,False,2000.0,250.0,1126.0506429672241,10.690498113632202,avi-pilot,1,23,m,2026-01-15_12-54-03
2,3,stimulation,sham,2,2,26,6,12,right,left,1,508.6324214935303,False,False,2000.0,250.0,1130.8205170631409,15.460371971130371,avi-pilot,1,23,m,2026-01-15_12-54-03
3,3,stimulation,sham,3,2,26,6,12,right,left,1,497.12204933166504,False,False,2000.0,250.0,1135.5791811943054,20.219036102294922,avi-pilot,1,23,m,2026-01-15_12-54-03
4,3,stimulation,sham,4,2,26,6,12,right,left,1,409.9392890930176,False,True,2000.0,250.0,1140.2498755455017,24.88973093032837,avi-pilot,1,23,m,2026-01-15_12-54-03
5,3,stimulation,sham,5,2,26,6,12,left,right,1,660.7053279876709,False,False,2000.0,250.0,1145.1714296340942,29.81128454208374,avi-pilot,1,23,m,2026-01-15_12-54-03
6,3,stimulation,sham,6,2,26,6,12,right,left,1,477.70071029663086,False,False,2000.0,250.0,1149.909901857376,34.54975652694702,avi-pilot,1,23,m,2026-01-15_12-54-03
7,3,stimulation,sham,7,2,26,6,12,left,right,1,515.7804489135742,False,True,2000.0,250.0,1154.687644958496,39.327499866485596,avi-pilot,1,23,m,2026-01-15_12-54-03
8,3,stimulation,sham,8,2,26,6,12,left,right,1,439.0401840209961,False,True,2000.0,250.0,1159.38822555542,44.028080701828,avi-pilot,1,23,m,2026-01-15_12-54-03
9,3,stimulation,sham,9,2,26,6,12,right,left,1,409.84201431274414,False,False,2000.0,250.0,1164.0588924884796,48.69874715805054,avi-pilot,1,23,m,2026-01-15_12-54-03
10,3,stimulation,sham,10,2,26,6,12,right,left,1,394.2129611968994,False,True,2000.0,250.0,1168.7151365280151,53.35499143600464,avi-pilot,1,23,m,2026-01-15_12-54-03
