trial_num,run,run_type,stim_condition,trial_in_contingency,current_good,contingency_trials,slot1_position,slot2_position,choice,rt,correct,reward,wait_time,iti,timestamp,trial_start_time,subject_id,session,age,gender,date
0,1,baseline,none,0,1,25,right,left,1.0,711.9860649108887,True,True,2000.0,250.0,4.990095138549805,4.99008584022522,9998,1,31,m,2025-08-06_11-54-15
1,1,baseline,none,1,1,25,right,left,2.0,1236.6361618041992,False,True,2000.0,250.0,10.498584032058716,10.498575210571289,9998,1,31,m,2025-08-06_11-54-15
2,1,baseline,none,2,1,25,left,right,1.0,1763.746976852417,True,False,2000.0,250.0,16.531793117523193,16.531782865524292,9998,1,31,m,2025-08-06_11-54-15
3,1,baseline,none,3,1,25,right,left,2.0,1052.088975906372,False,False,2000.0,250.0,21.855703115463257,21.855693101882935,9998,1,31,m,2025-08-06_11-54-15
4,1,baseline,none,4,1,25,left,right,2.0,831.1738967895508,False,True,2000.0,250.0,26.958219051361084,26.958208084106445,9998,1,31,m,2025-08-06_11-54-15
5,1,baseline,none,5,1,25,right,left,2.0,1271.996021270752,False,False,2000.0,250.0,32.50042796134949,32.500418186187744,9998,1,31,m,2025-08-06_11-54-15
6,1,baseline,none,6,1,25,left,right,2.0,1066.7667388916016,False,False,2000.0,250.0,37.83949303627014,37.83948278427124,9998,1,31,m,2025-08-06_11-54-15
7,1,baseline,none,7,1,25,right,left,1.0,1195.5158710479736,True,True,2000.0,250.0,43.306286096572876,43.30627417564392,9998,1,31,m,2025-08-06_11-54-15
8,1,baseline,none,8,1,25,left,right,1.0,1488.3410930633545,True,False,2000.0,250.0,49.06619310379028,49.066181898117065,9998,1,31,m,2025-08-06_11-54-15
9,1,baseline,none,9,1,25,left,right,,,,,2000.0,250.0,54.83568716049194,54.83567786216736,9998,1,31,m,2025-08-06_11-54-15
10,1,baseline,none,10,1,25,left,right,2.0,1120.7530498504639,False,False,2000.0,250.0,60.22771096229553,60.22770094871521,9998,1,31,m,2025-08-06_11-54-15
11,1,baseline,none,11,1,25,left,right,1.0,1288.2201671600342,True,True,2000.0,250.0,65.78779530525208,65.78778386116028,9998,1,31,m,2025-08-06_11-54-15
12,1,baseline,none,12,1,25,left,right,1.0,1487.5819683074951,True,True,2000.0,250.0,71.54766726493835,71.54765605926514,9998,1,31,m,2025-08-06_11-54-15
13,1,baseline,none,13,1,25,left,right,2.0,776.3597965240479,False,True,2000.0,250.0,76.59501218795776,76.59500122070312,9998,1,31,m,2025-08-06_11-54-15
14,1,baseline,none,14,1,25,left,right,1.0,1831.200122833252,True,False,2000.0,250.0,82.69803214073181,82.6980209350586,9998,1,31,m,2025-08-06_11-54-15
15,1,baseline,none,15,1,25,right,left,1.0,1017.8213119506836,True,False,2000.0,250.0,87.98637700080872,87.98636603355408,9998,1,31,m,2025-08-06_11-54-15
16,1,baseline,none,16,1,25,left,right,1.0,659.2419147491455,True,False,2000.0,250.0,92.91639018058777,92.91637897491455,9998,1,31,m,2025-08-06_11-54-15
17,1,baseline,none,17,1,25,right,left,2.0,1587.7387523651123,False,True,2000.0,250.0,98.776780128479,98.77676916122437,9998,1,31,m,2025-08-06_11-54-15
18,1,baseline,none,18,1,25,right,left,2.0,1115.9470081329346,False,False,2000.0,250.0,104.16467308998108,104.16466403007507,9998,1,31,m,2025-08-06_11-54-15
19,1,baseline,none,19,1,25,right,left,,,,,2000.0,250.0,109.94500517845154,109.94499516487122,9998,1,31,m,2025-08-06_11-54-15
20,1,baseline,none,20,1,25,left,right,1.0,1.5170574188232422,True,True,2000.0,250.0,114.21764612197876,114.21763396263123,9998,1,31,m,2025-08-06_11-54-15
21,1,baseline,none,21,1,25,left,right,1.0,2.1719932556152344,True,False,2000.0,250.0,118.49409198760986,118.49408316612244,9998,1,31,m,2025-08-06_11-54-15
22,1,baseline,none,22,1,25,right,left,2.0,1.9388198852539062,False,False,2000.0,250.0,122.76752400398254,122.7675130367279,9998,1,31,m,2025-08-06_11-54-15
23,1,baseline,none,23,1,25,left,right,1.0,1168.384075164795,True,False,2000.0,250.0,128.20838904380798,128.20837998390198,9998,1,31,m,2025-08-06_11-54-15
24,1,baseline,none,24,1,25,right,left,2.0,730.5989265441895,False,False,2000.0,250.0,133.20889329910278,133.208881855011,9998,1,31,m,2025-08-06_11-54-15
25,1,baseline,none,0,2,26,right,left,2.0,811.2001419067383,True,True,2000.0,250.0,138.29039788246155,138.29038906097412,9998,1,31,m,2025-08-06_11-54-15
26,1,baseline,none,1,2,26,left,right,1.0,1.5239715576171875,False,False,2000.0,250.0,142.56297707557678,142.56296706199646,9998,1,31,m,2025-08-06_11-54-15
27,1,baseline,none,2,2,26,left,right,2.0,613.9237880706787,True,True,2000.0,250.0,147.4495551586151,147.4495460987091,9998,1,31,m,2025-08-06_11-54-15
28,1,baseline,none,3,2,26,right,left,1.0,882.2588920593262,False,True,2000.0,250.0,152.60089111328125,152.6008791923523,9998,1,31,m,2025-08-06_11-54-15
29,1,baseline,none,4,2,26,right,left,1.0,814.3260478973389,False,True,2000.0,250.0,157.6856701374054,157.68565893173218,9998,1,31,m,2025-08-06_11-54-15
30,1,baseline,none,5,2,26,left,right,,,,,2000.0,250.0,163.46536207199097,163.46535086631775,9998,1,31,m,2025-08-06_11-54-15
31,1,baseline,none,6,2,26,left,right,2.0,2.1979808807373047,True,True,2000.0,250.0,167.7368712425232,167.7368609905243,9998,1,31,m,2025-08-06_11-54-15
32,1,baseline,none,7,2,26,right,left,1.0,1.77001953125,False,False,2000.0,250.0,172.00952911376953,172.00951719284058,9998,1,31,m,2025-08-06_11-54-15
33,1,baseline,none,8,2,26,left,right,2.0,1.4677047729492188,True,True,2000.0,250.0,176.27986812591553,176.27985906600952,9998,1,31,m,2025-08-06_11-54-15
34,1,baseline,none,9,2,26,left,right,1.0,694.4890022277832,False,False,2000.0,250.0,181.24608302116394,181.24607300758362,9998,1,31,m,2025-08-06_11-54-15
35,1,baseline,none,10,2,26,right,left,1.0,324.2611885070801,False,False,2000.0,250.0,185.8433380126953,185.84332585334778,9998,1,31,m,2025-08-06_11-54-15
36,1,baseline,none,11,2,26,right,left,1.0,1376.2691020965576,False,False,2000.0,250.0,191.49173712730408,191.49172711372375,9998,1,31,m,2025-08-06_11-54-15
37,1,baseline,none,12,2,26,right,left,2.0,897.3550796508789,True,True,2000.0,250.0,196.66167211532593,196.6616599559784,9998,1,31,m,2025-08-06_11-54-15
38,1,baseline,none,13,2,26,left,right,1.0,389.6958827972412,False,False,2000.0,250.0,201.32189202308655,201.3218810558319,9998,1,31,m,2025-08-06_11-54-15
39,1,baseline,none,14,2,26,right,left,1.0,593.5161113739014,False,False,2000.0,250.0,206.1867640018463,206.1867551803589,9998,1,31,m,2025-08-06_11-54-15
