trial_num,run,run_type,stim_condition,trial_in_contingency,current_good,contingency_trials,slot1_position,slot2_position,choice,rt,correct,reward,wait_time,iti,timestamp,trial_start_time,subject_id,session,age,gender,date
0,2,theta_stim,theta,0,1,25,right,left,,,,,2000.0,250.0,5.779932975769043,5.77993106842041,9998,1,31,m,2025-08-06_12-01-25
1,2,theta_stim,theta,1,1,25,right,left,,,,,2000.0,250.0,11.553297996520996,11.553296089172363,9998,1,31,m,2025-08-06_12-01-25
2,2,theta_stim,theta,2,1,25,right,left,,,,,2000.0,250.0,17.334125757217407,17.33412194252014,9998,1,31,m,2025-08-06_12-01-25
3,2,theta_stim,theta,3,1,25,left,right,,,,,2000.0,250.0,23.103405714035034,23.103402853012085,9998,1,31,m,2025-08-06_12-01-25
4,2,theta_stim,theta,4,1,25,left,right,,,,,2000.0,250.0,28.87874484062195,28.878742933273315,9998,1,31,m,2025-08-06_12-01-25
5,2,theta_stim,theta,5,1,25,left,right,,,,,2000.0,250.0,34.66128587722778,34.66128182411194,9998,1,31,m,2025-08-06_12-01-25
6,2,theta_stim,theta,6,1,25,right,left,,,,,2000.0,250.0,40.428995847702026,40.42899179458618,9998,1,31,m,2025-08-06_12-01-25
7,2,theta_stim,theta,7,1,25,left,right,,,,,2000.0,250.0,46.21059584617615,46.2105917930603,9998,1,31,m,2025-08-06_12-01-25
8,2,theta_stim,theta,8,1,25,right,left,,,,,2000.0,250.0,51.979973793029785,51.979970932006836,9998,1,31,m,2025-08-06_12-01-25
9,2,theta_stim,theta,9,1,25,left,right,,,,,2000.0,250.0,57.75704598426819,57.757041692733765,9998,1,31,m,2025-08-06_12-01-25
10,2,theta_stim,theta,10,1,25,right,left,,,,,2000.0,250.0,63.535892963409424,63.53588914871216,9998,1,31,m,2025-08-06_12-01-25
11,2,theta_stim,theta,11,1,25,right,left,,,,,2000.0,250.0,69.31363892555237,69.31363487243652,9998,1,31,m,2025-08-06_12-01-25
12,2,theta_stim,theta,12,1,25,right,left,,,,,2000.0,250.0,75.09138369560242,75.09138083457947,9998,1,31,m,2025-08-06_12-01-25
13,2,theta_stim,theta,13,1,25,right,left,,,,,2000.0,250.0,80.85947394371033,80.85946989059448,9998,1,31,m,2025-08-06_12-01-25
14,2,theta_stim,theta,14,1,25,left,right,2.0,16.169071197509766,False,False,2000.0,250.0,85.1448347568512,85.14483094215393,9998,1,31,m,2025-08-06_12-01-25
15,2,theta_stim,theta,15,1,25,right,left,,,,,2000.0,250.0,90.92663979530334,90.9266369342804,9998,1,31,m,2025-08-06_12-01-25
16,2,theta_stim,theta,16,1,25,right,left,,,,,2000.0,250.0,96.6930639743805,96.69305992126465,9998,1,31,m,2025-08-06_12-01-25
17,2,theta_stim,theta,17,1,25,left,right,,,,,2000.0,250.0,102.47130799293518,102.47130489349365,9998,1,31,m,2025-08-06_12-01-25
18,2,theta_stim,theta,18,1,25,right,left,,,,,2000.0,250.0,108.24930310249329,108.24929881095886,9998,1,31,m,2025-08-06_12-01-25
19,2,theta_stim,theta,19,1,25,left,right,,,,,2000.0,250.0,114.0256519317627,114.02564978599548,9998,1,31,m,2025-08-06_12-01-25
20,2,theta_stim,theta,20,1,25,left,right,,,,,2000.0,250.0,119.79939365386963,119.79938983917236,9998,1,31,m,2025-08-06_12-01-25
21,2,theta_stim,theta,21,1,25,right,left,,,,,2000.0,250.0,125.57635474205017,125.57635188102722,9998,1,31,m,2025-08-06_12-01-25
22,2,theta_stim,theta,22,1,25,left,right,,,,,2000.0,250.0,131.35187292099,131.35186886787415,9998,1,31,m,2025-08-06_12-01-25
23,2,theta_stim,theta,23,1,25,left,right,,,,,2000.0,250.0,137.13056683540344,137.13056302070618,9998,1,31,m,2025-08-06_12-01-25
24,2,theta_stim,theta,24,1,25,left,right,,,,,2000.0,250.0,142.89809584617615,142.89809203147888,9998,1,31,m,2025-08-06_12-01-25
25,2,theta_stim,theta,0,2,28,left,right,,,,,2000.0,250.0,148.67913699150085,148.67913174629211,9998,1,31,m,2025-08-06_12-01-25
26,2,theta_stim,theta,1,2,28,right,left,,,,,2000.0,250.0,154.45825481414795,154.45825290679932,9998,1,31,m,2025-08-06_12-01-25
27,2,theta_stim,theta,2,2,28,right,left,,,,,2000.0,250.0,160.2315628528595,160.23155975341797,9998,1,31,m,2025-08-06_12-01-25
28,2,theta_stim,theta,3,2,28,right,left,,,,,2000.0,250.0,166.00807881355286,166.0080759525299,9998,1,31,m,2025-08-06_12-01-25
29,2,theta_stim,theta,4,2,28,right,left,,,,,2000.0,250.0,171.77974390983582,171.7797408103943,9998,1,31,m,2025-08-06_12-01-25
30,2,theta_stim,theta,5,2,28,right,left,,,,,2000.0,250.0,177.55795001983643,177.5579481124878,9998,1,31,m,2025-08-06_12-01-25
31,2,theta_stim,theta,6,2,28,right,left,,,,,2000.0,250.0,183.34117674827576,183.3411738872528,9998,1,31,m,2025-08-06_12-01-25
32,2,theta_stim,theta,7,2,28,left,right,,,,,2000.0,250.0,189.11902379989624,189.11901998519897,9998,1,31,m,2025-08-06_12-01-25
33,2,theta_stim,theta,8,2,28,right,left,,,,,2000.0,250.0,194.89266681671143,194.89266300201416,9998,1,31,m,2025-08-06_12-01-25
34,2,theta_stim,theta,9,2,28,right,left,,,,,2000.0,250.0,200.66858196258545,200.66857886314392,9998,1,31,m,2025-08-06_12-01-25
